ObjectID,GlobalID,Incidental Bird?,Time,4-Letter Species Code,Sex,Number of Birds in Incidental Group,Incidental Notes,Next Incidental Observation,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,5a1a1cba-1132-4076-b7f2-92c278f0a129,,,,,,,,0cca6ee5-6d1c-4233-9420-859cf827700b,5/8/2024 6:37:23 PM,will.harrod,5/8/2024 6:37:23 PM,will.harrod,0,0
2,f358364b-8fee-4c06-8d74-b2b5d4c7c6b8,,,,,,,,97c97f44-4c6d-40fd-ad5a-c10c26466611,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston,0,0
3,5af7686c-85c3-4009-849b-619dff102c91,,,,,,,,d4eee6be-72c2-4636-94ee-2e54c96f2f25,5/9/2024 6:01:38 PM,will.harrod,5/9/2024 6:01:38 PM,will.harrod,0,0
4,65b9d737-fdf4-48f4-b1f4-9db6054489c1,,,,,,,,e64e1e9c-6170-492f-a1c6-720babdad008,5/9/2024 6:33:21 PM,will.harrod,5/9/2024 6:33:21 PM,will.harrod,0,0
5,cbe471e8-ac9f-42d7-a352-8629113a16b8,Y,07:23,SEOW,U,,,,36ed9ee8-1233-4d6d-90d6-01d1f876f09c,5/10/2024 12:52:18 AM,will.harrod,5/10/2024 12:52:18 AM,will.harrod,-113.716330295516,41.5297296063183
6,dd826bd0-04c6-4fe7-9282-0987c590d037,Y,08:56,BBMP,U,,,,668c8efd-e336-486d-a40b-1a43a71ad99d,5/10/2024 5:14:56 PM,will.harrod,5/10/2024 5:14:56 PM,will.harrod,-113.037119413842,42.0232283682526
7,70d2455b-6a87-4960-b3cf-8c3985e5dc16,,,,,,,,2f796e73-d9e5-493b-a72f-fdc3723dc5fc,5/13/2024 3:27:22 PM,will.harrod,5/13/2024 3:27:22 PM,will.harrod,0,0
8,70ef1571-81f5-4649-ac72-430675b50106,,,,,,,,477c1b4f-ad5f-4486-96b2-98c732d55864,5/14/2024 2:47:41 PM,will.harrod,5/14/2024 2:47:41 PM,will.harrod,0,0
9,ffa7c9f2-1c2e-46bb-ab13-2886585ca185,,,,,,,,ff75bc23-125d-48bf-b585-c368edd6383c,5/14/2024 5:48:08 PM,reggleston,5/14/2024 5:48:08 PM,reggleston,0,0
10,81bf4b99-2ffb-40ee-8feb-5f73da136dc6,,,,,,,,0c4b4f31-ed04-4c04-84a8-31c197a395d4,5/14/2024 7:17:36 PM,will.harrod,5/14/2024 7:17:36 PM,will.harrod,0,0
11,660825fd-6358-4cd8-a13b-aabed7226e8f,Y,08:38,BBMA,U,1,,,273b03a1-a86e-4cb8-82d8-fc8016656375,5/14/2024 11:29:20 PM,will.harrod,5/14/2024 11:29:20 PM,will.harrod,-113.97456738,41.85202018
12,083cdb52-8d4f-44c4-a828-afbfd755620a,,,,,,,,a42da681-dcb1-4ca1-b40f-5aea2ce135c7,5/15/2024 1:27:45 AM,reggleston,5/15/2024 1:27:45 AM,reggleston,0,0
13,0b58be20-09a0-4aea-a1f2-6296a3be96ac,,,,,,,,16334b2e-6eb6-46ff-afcc-267d7c08c110,5/15/2024 3:22:32 PM,will.harrod,5/15/2024 3:22:32 PM,will.harrod,0,0
14,ff690f02-dc6d-4de4-9484-98fe4115de22,,,,,,,,06f20009-ad48-4f41-98e9-2cced96890f6,5/15/2024 3:29:02 PM,will.harrod,5/15/2024 3:29:02 PM,will.harrod,0,0
15,6d05eb88-3ed0-4afc-b418-da0734217ee3,,,,,,,,f53fa06d-5462-4e38-ae8b-ac6f3bf6c3e1,5/15/2024 5:30:22 PM,reggleston,5/15/2024 5:30:22 PM,reggleston,0,0
