ObjectID,GlobalID,Point #,Start Time at Point,Percent of the area within 50m covered by any shrub species,Percent of the area within 50m covered by sagebrush (Artemisia sp.),Shrub Species Present within 50m of the point,List any other shrub species present within 50m of the point,Count the number of trees or snags within 50m of the point,Percent of shrubs shorter than 1m,Percent of shrubs 1m-2m tall,Percent of shrubs 2m-3m tall,Percent of shrubs taller than 3m,Percent of the area within 50m of the point where cheatgrass is present,Point Notes,Next Point,ParentGlobalID,CreationDate,Creator,EditDate,Editor,Average height of shrubs within 50m of the point (cm),x,y
5,534bde94-f801-4832-a32e-9bfbd6c3bde4,01,06:45,9,,,,0,,,,,1,,,97c97f44-4c6d-40fd-ad5a-c10c26466611,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston,,-113.657601668744,41.5670872144439
6,194c7e7e-4a67-4492-9116-f6f5340d1802,02,06:58,9,,,,9,,,,,3,,,97c97f44-4c6d-40fd-ad5a-c10c26466611,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston,,-113.660392827942,41.5645545871158
7,d0a20dbb-c1ff-4e50-922d-ab0a68b00521,03,07:09,8,,,,0,,,,,3,,,97c97f44-4c6d-40fd-ad5a-c10c26466611,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston,,-113.657394610022,41.5646525859423
8,8629ca2c-38a5-4937-81b5-5d251c52e412,04,07:25,8,,,,3,,,,,2,,,97c97f44-4c6d-40fd-ad5a-c10c26466611,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston,,-113.654368660091,41.5647458280328
9,5f51659a-12cb-495e-b529-9457c7ce2334,07,07:36,8,,,,0,,,,,1,,,97c97f44-4c6d-40fd-ad5a-c10c26466611,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston,,-113.654227608629,41.5625291038234
10,26bc8641-6429-43c5-a79d-226e49cfdf2d,06,07:49,8,,,,25,,,,,2,,,97c97f44-4c6d-40fd-ad5a-c10c26466611,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston,,-113.657235847141,41.5624257617605
11,a127ffa9-889c-4f55-99a2-94c95033ea9c,05,08:02,7,,,,75,,,,,4,,,97c97f44-4c6d-40fd-ad5a-c10c26466611,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston,,-113.660244080084,41.5623113702074
12,a4ad9e07-193c-4dae-8d47-9913ab3f0b3d,08,08:15,8,,,,70,,,,,2,Obs 11 = nice,,97c97f44-4c6d-40fd-ad5a-c10c26466611,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston,,-113.657111189073,41.560189442461
13,70bdf387-60ae-43ad-852c-47c50b06554f,09,08:27,7,,,,7,,,,,1,,,97c97f44-4c6d-40fd-ad5a-c10c26466611,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston,,-113.656959446061,41.557962711427
14,3f4f01eb-34d4-4e15-97da-74eb1ce7845a,10,08:38,8,,,,1,,,,,4,,,97c97f44-4c6d-40fd-ad5a-c10c26466611,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston,,-113.65679728207,41.5557164808756
