ObjectID,GlobalID,Incidental Bird?,Time,4-Letter Species Code,Sex,Number of Birds in Incidental Group,Incidental Notes,Next Incidental Observation,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
2,f358364b-8fee-4c06-8d74-b2b5d4c7c6b8,,,,,,,,97c97f44-4c6d-40fd-ad5a-c10c26466611,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston,0,0
3,5af7686c-85c3-4009-849b-619dff102c91,,,,,,,,d4eee6be-72c2-4636-94ee-2e54c96f2f25,5/9/2024 6:01:38 PM,will.harrod,5/9/2024 6:01:38 PM,will.harrod,0,0
4,65b9d737-fdf4-48f4-b1f4-9db6054489c1,,,,,,,,e64e1e9c-6170-492f-a1c6-720babdad008,5/9/2024 6:33:21 PM,will.harrod,5/9/2024 6:33:21 PM,will.harrod,0,0
5,cbe471e8-ac9f-42d7-a352-8629113a16b8,Y,07:23,SEOW,U,,,,36ed9ee8-1233-4d6d-90d6-01d1f876f09c,5/10/2024 12:52:18 AM,will.harrod,5/10/2024 12:52:18 AM,will.harrod,-113.716330295516,41.5297296063183
6,dd826bd0-04c6-4fe7-9282-0987c590d037,Y,08:56,BBMP,U,,,,668c8efd-e336-486d-a40b-1a43a71ad99d,5/10/2024 5:14:56 PM,will.harrod,5/10/2024 5:14:56 PM,will.harrod,-113.037119413842,42.0232283682526
7,70d2455b-6a87-4960-b3cf-8c3985e5dc16,,,,,,,,2f796e73-d9e5-493b-a72f-fdc3723dc5fc,5/13/2024 3:27:22 PM,will.harrod,5/13/2024 3:27:22 PM,will.harrod,0,0
8,70ef1571-81f5-4649-ac72-430675b50106,,,,,,,,477c1b4f-ad5f-4486-96b2-98c732d55864,5/14/2024 2:47:41 PM,will.harrod,5/14/2024 2:47:41 PM,will.harrod,0,0
9,ffa7c9f2-1c2e-46bb-ab13-2886585ca185,,,,,,,,ff75bc23-125d-48bf-b585-c368edd6383c,5/14/2024 5:48:08 PM,reggleston,5/14/2024 5:48:08 PM,reggleston,0,0
10,81bf4b99-2ffb-40ee-8feb-5f73da136dc6,,,,,,,,0c4b4f31-ed04-4c04-84a8-31c197a395d4,5/14/2024 7:17:36 PM,will.harrod,5/14/2024 7:17:36 PM,will.harrod,0,0
11,660825fd-6358-4cd8-a13b-aabed7226e8f,Y,08:38,BBMA,U,1,,,273b03a1-a86e-4cb8-82d8-fc8016656375,5/14/2024 11:29:20 PM,will.harrod,5/14/2024 11:29:20 PM,will.harrod,-113.97456738,41.85202018
12,083cdb52-8d4f-44c4-a828-afbfd755620a,,,,,,,,a42da681-dcb1-4ca1-b40f-5aea2ce135c7,5/15/2024 1:27:45 AM,reggleston,5/15/2024 1:27:45 AM,reggleston,0,0
13,0b58be20-09a0-4aea-a1f2-6296a3be96ac,,,,,,,,16334b2e-6eb6-46ff-afcc-267d7c08c110,5/15/2024 3:22:32 PM,will.harrod,5/15/2024 3:22:32 PM,will.harrod,0,0
14,ff690f02-dc6d-4de4-9484-98fe4115de22,,,,,,,,06f20009-ad48-4f41-98e9-2cced96890f6,5/15/2024 3:29:02 PM,will.harrod,5/15/2024 3:29:02 PM,will.harrod,0,0
15,6d05eb88-3ed0-4afc-b418-da0734217ee3,,,,,,,,f53fa06d-5462-4e38-ae8b-ac6f3bf6c3e1,5/15/2024 5:30:22 PM,reggleston,5/15/2024 5:30:22 PM,reggleston,0,0
16,d41496bd-a9ba-46c0-befd-f4cfbaa04e58,,,,,,,,d8c8f493-f6fa-4675-96f9-0da3920a302f,5/15/2024 5:54:09 PM,reggleston,5/15/2024 5:54:09 PM,reggleston,0,0
17,5df31fe5-d685-45aa-9c46-7b5ce25aae47,,,,,,,,05227108-c152-4254-b097-d6a4d8137f95,5/15/2024 9:51:18 PM,will.harrod,5/15/2024 9:51:18 PM,will.harrod,0,0
18,4b340c34-39ba-44ec-82c0-f33b005bfb44,,,,,,,,f0a135cf-f471-4aae-9043-92aadd637672,5/16/2024 3:03:53 PM,will.harrod,5/16/2024 3:03:53 PM,will.harrod,0,0
19,78d34831-5ef2-4264-bdaa-e24fbd968660,,,,,,,,6b31e09b-54ef-457f-9605-fa3f8f8ee365,5/16/2024 3:47:24 PM,reggleston,5/16/2024 3:47:24 PM,reggleston,0,0
20,da71612f-fac7-4f27-8b6c-ced83027c223,,,,,,,,4f46fba9-2c69-4239-afb0-69ff9da4c11a,5/16/2024 4:25:07 PM,reggleston,5/16/2024 4:25:07 PM,reggleston,0,0
21,bada8cfd-b969-4f56-b3e2-d243c9d8b49c,,,,,,,,97e6e543-e975-4f3a-8904-f2026d262d30,5/17/2024 3:22:24 PM,reggleston,5/17/2024 3:22:24 PM,reggleston,0,0
22,9dc33cb0-0c08-41c8-ae81-9ec53ebc03aa,Y,06:39,GRPA,U,2,,,f965a7ed-f6e5-4ac4-bd7a-79b5c9a667bc,5/17/2024 4:24:48 PM,will.harrod,5/17/2024 4:24:48 PM,will.harrod,-113.68116833,41.97989047
23,2012dcae-4907-41e8-a416-0b3ec858b8b9,Y,09:23,GRPA,U,1,,,f965a7ed-f6e5-4ac4-bd7a-79b5c9a667bc,5/17/2024 4:24:48 PM,will.harrod,5/17/2024 4:24:48 PM,will.harrod,-113.69363676,41.98481991
24,fa13688e-f03a-4174-a74b-80dacac2ec51,,,,,,,,60a49d85-188d-4b2d-b56c-59aef51d9125,5/17/2024 5:32:26 PM,will.harrod,5/17/2024 5:32:26 PM,will.harrod,0,0
25,c1a0ba29-6321-498a-b1c9-d979add1896a,,,,,,,,f94617e6-3399-4146-a648-887bbe1456e9,5/17/2024 5:32:31 PM,reggleston,5/17/2024 5:32:31 PM,reggleston,0,0
26,bf019307-c99e-4f31-8dfb-221190e5a54d,,,,,,,,55b4293c-6b32-411a-aa48-62a817f3c85f,5/18/2024 12:54:46 PM,will.harrod,5/18/2024 12:54:46 PM,will.harrod,0,0
27,52e78b53-ece4-4b59-b261-334274bc493c,,,,,,,,9b9d2355-349a-4156-bbb8-7537fe1aaeea,5/20/2024 3:17:11 PM,will.harrod,5/20/2024 3:17:11 PM,will.harrod,0,0
28,eaab6290-e736-495e-8a2f-3e6e964ffaea,,,,,,,,f3f5e0fa-da3a-41cd-ae83-990d91308e0f,5/20/2024 6:02:27 PM,will.harrod,5/20/2024 6:02:27 PM,will.harrod,0,0
29,ec5ffed5-b48e-4878-9298-34c3d8e4a0ec,Y,08:18,CHSP,U,,,,e91e68f2-47fb-4726-9a47-489b50a732b0,5/20/2024 6:02:29 PM,will.harrod,5/20/2024 6:02:29 PM,will.harrod,-113.44722464,42.12214602
30,f3a45694-c0b4-4150-b05f-af57015960b7,,,,,,,,1aae3f6f-1d33-463f-b903-1cfb1fe69ffc,5/20/2024 6:32:43 PM,will.harrod,5/20/2024 6:32:43 PM,will.harrod,0,0
31,098e76c4-024c-4cda-b384-b1075fa5618b,,,,,,,,660063b8-fd49-401e-ac61-31b0e66c7065,5/20/2024 7:07:31 PM,will.harrod,5/20/2024 7:07:31 PM,will.harrod,0,0
32,c8b09af9-0c7e-4c4d-892e-e30b9eb123ab,,,,,,,,719a6cc5-12a0-4c9e-9046-6c2d4ec34af7,5/20/2024 8:30:49 PM,reggleston,5/20/2024 8:30:49 PM,reggleston,0,0
33,3f9dc0a1-d614-4bb3-bdda-d46e69725c95,,,,,,,,711c998d-f255-4f4f-ab14-9bc010ed515d,5/21/2024 3:09:21 PM,will.harrod,5/21/2024 3:09:21 PM,will.harrod,0,0
34,199d1daf-f5fe-413a-bf2e-fba8918da034,,,,,,,,5e71cea9-4fdb-408d-97de-b2762edfb341,5/21/2024 4:21:16 PM,reggleston,5/21/2024 4:21:16 PM,reggleston,0,0
35,eb1d6929-6db3-4124-9770-0772af38ccc0,,,,,,,,03bfaef2-ea0f-49d9-8448-5fd6872badb1,5/21/2024 7:06:53 PM,will.harrod,5/21/2024 7:06:53 PM,will.harrod,0,0
36,f4e077c8-b0d8-44fa-bbb4-8d29f0d221a8,,,,U,,,,65d2f879-d724-450d-851a-3a44362c956a,5/21/2024 7:26:07 PM,reggleston,5/21/2024 7:26:07 PM,reggleston,0,0
37,ef1ac300-12cd-4813-b0d6-ebc26f8ebaae,,,,,,,,7a3f8596-e486-49c1-b4c5-cc4338b915c1,5/21/2024 7:42:42 PM,reggleston,5/21/2024 7:42:42 PM,reggleston,0,0
38,8f9c2c7f-8de6-4ac4-98de-4a0a69418a05,,,,,,,,810bb4d8-50d9-4804-b470-c37545dc2ff2,5/21/2024 7:54:33 PM,will.harrod,5/21/2024 7:54:33 PM,will.harrod,0,0
