FID,RouteName,Point_ID,Geo_X,Geo_Y,UTM_X,UTM_Y
0,ID-B03,13,-113.2779917,42.09394452,311615.7659,4662717.284
1,ID-B03,14,-113.2750286,42.09387909,311860.6303,4662703.488
2,ID-B03,15,-113.2720655,42.09381365,312105.495,4662689.701
3,ID-B03,16,-113.2691023,42.09374822,312350.3604,4662675.922
4,ID-B03,9,-113.2779035,42.09614326,311629.5686,4662961.237
5,ID-B03,10,-113.2749404,42.09607783,311874.4247,4662947.442
6,ID-B03,11,-113.2719773,42.0960124,312119.281,4662933.655
7,ID-B03,12,-113.2690141,42.09594697,312364.1378,4662919.876
8,ID-B03,5,-113.2778154,42.09834193,311643.3711,4663205.182
9,ID-B03,6,-113.2748522,42.0982765,311888.2185,4663191.387
10,ID-B03,7,-113.2718891,42.09821107,312133.0664,4663177.6
11,ID-B03,8,-113.268926,42.09814564,312377.9148,4663163.822
12,ID-B03,1,-113.2777272,42.10054051,311657.173,4663449.119
13,ID-B03,2,-113.274764,42.10047509,311902.012,4663435.324
14,ID-B03,3,-113.2718009,42.10040966,312146.8514,4663421.538
15,ID-B03,4,-113.2688378,42.10034424,312391.6913,4663407.76
16,ID-C23,13,-113.1497011,42.04351905,322084.8363,4656843.176
17,ID-C23,14,-113.1467378,42.04357993,322330.2708,4656843.775
18,ID-C23,15,-113.1437745,42.04364082,322575.7047,4656844.383
19,ID-C23,16,-113.1408112,42.0437017,322821.1382,4656844.999
20,ID-C23,9,-113.1497831,42.04571967,322084.1936,4657087.699
21,ID-C23,10,-113.1468198,42.04578055,322329.6196,4657088.298
22,ID-C23,11,-113.1438565,42.04584143,322575.0451,4657088.905
23,ID-C23,12,-113.1408932,42.04590232,322820.47,4657089.521
24,ID-C23,5,-113.1498651,42.04792021,322083.5516,4657332.214
25,ID-C23,6,-113.1469018,42.04798109,322328.969,4657332.812
26,ID-C23,7,-113.1439385,42.04804197,322574.386,4657333.418
27,ID-C23,8,-113.1409752,42.04810285,322819.8025,4657334.034
28,ID-C23,1,-113.1499471,42.05012068,322082.9099,4657576.72
29,ID-C23,2,-113.1469838,42.05018156,322328.3189,4657577.317
30,ID-C23,3,-113.1440205,42.05024244,322573.7275,4657577.924
31,ID-C23,4,-113.1410572,42.05030332,322819.1354,4657578.538
32,ID-C28,13,-113.7607596,42.08915418,271671.7659,4663363.005
33,ID-C28,14,-113.7577971,42.08923412,271917.0847,4663363.966
34,ID-C28,15,-113.7548347,42.08931406,272162.4029,4663364.936
35,ID-C28,16,-113.7518722,42.089394,272407.7204,4663365.914
36,ID-C28,9,-113.7608673,42.0913526,271670.747,4663607.415
37,ID-C28,10,-113.7579049,42.09143255,271916.0573,4663608.375
38,ID-C28,11,-113.7549424,42.09151249,272161.367,4663609.345
39,ID-C28,12,-113.7519799,42.09159242,272406.676,4663610.322
40,ID-C28,5,-113.7609751,42.09355096,271669.7287,4663851.816
41,ID-C28,6,-113.7580126,42.09363089,271915.0305,4663852.776
42,ID-C28,7,-113.7550501,42.09371083,272160.3318,4663853.745
43,ID-C28,8,-113.7520876,42.09379077,272405.6323,4663854.722
44,ID-C28,1,-113.7610828,42.09574923,271668.7111,4664096.209
45,ID-C28,2,-113.7581203,42.09582917,271914.0045,4664097.169
46,ID-C28,3,-113.7551578,42.0959091,272159.2972,4664098.137
47,ID-C28,4,-113.7521953,42.09598903,272404.5893,4664099.113
48,ID-C03,13,-113.2357274,42.08988148,315099.3172,4662173.785
49,ID-C03,14,-113.2327649,42.08980187,315344.1068,4662158.537
50,ID-C03,15,-113.2298024,42.08972226,315588.897,4662143.298
51,ID-C03,16,-113.2268399,42.08964264,315833.6879,4662128.067
52,ID-C03,9,-113.2356201,42.09207989,315114.5777,4662417.663
53,ID-C03,10,-113.2326576,42.09200028,315359.359,4662402.416
54,ID-C03,11,-113.2296951,42.09192068,315604.1407,4662387.177
55,ID-C03,12,-113.2267326,42.09184107,315848.923,4662371.948
56,ID-C03,5,-113.2355128,42.09427823,315129.8377,4662661.533
57,ID-C03,6,-113.2325503,42.09419862,315374.6105,4662646.286
58,ID-C03,7,-113.2295878,42.09411902,315619.3839,4662631.049
59,ID-C03,8,-113.2266253,42.09403942,315864.1577,4662615.819
60,ID-C03,1,-113.2354055,42.09647649,315145.0973,4662905.395
61,ID-C03,2,-113.232443,42.09639689,315389.8615,4662890.149
62,ID-C03,3,-113.2294805,42.09631729,315634.6264,4662874.911
63,ID-C03,4,-113.226518,42.09623769,315879.3918,4662859.682
64,ID_B04,13,-113.0005104,42.06850298,334497.7903,4659317.688
65,ID_B04,14,-112.9975471,42.0685642,334743.1141,4659318.752
66,ID_B04,15,-112.9945838,42.06862542,334988.4374,4659319.825
67,ID_B04,16,-112.9916205,42.06868665,335233.7602,4659320.907
68,ID_B04,9,-113.0005929,42.07070272,334496.6837,4659562.101
69,ID_B04,10,-112.9976296,42.07076394,334741.9991,4659563.165
70,ID_B04,11,-112.9946663,42.07082516,334987.3139,4659564.238
71,ID_B04,12,-112.991703,42.07088639,335232.6282,4659565.319
72,ID_B04,5,-113.0006754,42.07290239,334495.5775,4659806.506
73,ID_B04,6,-112.9977121,42.07296361,334740.8845,4659807.569
74,ID_B04,7,-112.9947488,42.07302483,334986.1909,4659808.642
75,ID_B04,8,-112.9917855,42.07308605,335231.4967,4659809.722
76,ID_B04,1,-113.0007578,42.07510199,334494.4721,4660050.903
77,ID_B04,2,-112.9977946,42.0751632,334739.7705,4660051.966
78,ID_B04,3,-112.9948313,42.07522442,334985.0685,4660053.037
79,ID_B04,4,-112.991868,42.07528564,335230.3659,4660054.117
80,ID-C04,13,-112.9723081,42.05948861,336807.9837,4658262.538
81,ID-C04,14,-112.9693446,42.05954399,337053.3419,4658263.035
82,ID-C04,15,-112.9663811,42.05959937,337298.6997,4658263.54
83,ID-C04,16,-112.9634176,42.05965475,337544.0569,4658264.053
84,ID-C04,9,-112.9723827,42.06168882,336807.448,4658506.985
85,ID-C04,10,-112.9694192,42.0617442,337052.7978,4658507.481
86,ID-C04,11,-112.9664557,42.06179958,337298.147,4658507.986
87,ID-C04,12,-112.9634922,42.06185496,337543.4957,4658508.499
88,ID-C04,5,-112.9724573,42.06388896,336806.9128,4658751.424
89,ID-C04,6,-112.9694938,42.06394434,337052.254,4658751.92
90,ID-C04,7,-112.9665303,42.06399971,337297.5948,4658752.424
91,ID-C04,8,-112.9635668,42.06405509,337542.9351,4658752.936
92,ID-C04,1,-112.9725319,42.06608902,336806.3779,4658995.855
93,ID-C04,2,-112.9695684,42.0661444,337051.7108,4658996.35
94,ID-C04,3,-112.9666049,42.06619977,337297.043,4658996.853
95,ID-C04,4,-112.9636414,42.06625514,337542.3749,4658997.365
96,ID-C07,13,-113.421428,42.14522813,299914.6816,4668738.181
97,ID-C07,14,-113.4184654,42.14530621,300159.7437,4668739.909
98,ID-C07,15,-113.4155029,42.1453843,300404.805,4668741.646
99,ID-C07,16,-113.4125403,42.14546238,300649.8658,4668743.391
100,ID-C07,9,-113.4215333,42.14742468,299912.9003,4668982.337
101,ID-C07,10,-113.4185707,42.14750276,300157.9539,4668984.064
102,ID-C07,11,-113.4156082,42.14758084,300403.0067,4668985.8
103,ID-C07,12,-113.4126456,42.14765892,300648.059,4668987.545
104,ID-C07,5,-113.4216386,42.14962115,299911.1196,4669226.484
105,ID-C07,6,-113.4186761,42.14969923,300156.1647,4669228.211
106,ID-C07,7,-113.4157135,42.14977731,300401.2092,4669229.946
107,ID-C07,8,-113.4127509,42.14985539,300646.253,4669231.69
108,ID-C07,1,-113.4217439,42.15181754,299909.3395,4669470.622
109,ID-C07,2,-113.4187814,42.15189562,300154.3762,4669472.349
110,ID-C07,3,-113.4158188,42.1519737,300399.4122,4669474.083
111,ID-C07,4,-113.4128562,42.15205177,300644.4475,4669475.827
112,ID-B07,13,-113.4547536,42.11533453,297065.3062,4665497.425
113,ID-B07,14,-113.4517909,42.11540852,297310.4903,4665498.604
114,ID-B07,15,-113.4488281,42.11548251,297555.6738,4665499.79
115,ID-B07,16,-113.4458653,42.1155565,297800.8568,4665500.986
116,ID-B07,9,-113.4548534,42.11753225,297064.0759,4665741.701
117,ID-B07,10,-113.4518906,42.11760624,297309.2517,4665742.879
