ObjectID,GlobalID,Minute,Species_Code,Radial_Distance,How_Detected?,Song_Also?,Sex,Visual_Detection?,Migrating?,Point_Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor,Is_bird_within_burn?,Direction
1,3fc5b117-140c-4a2d-b7de-4b881c1e5751,1,VESP,97,S,,U,Yes,Yes,,85b3fcb1-c173-4d40-939f-03631457d039,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
2,579dac53-5c99-4eaf-9047-055db49844b8,2,WEME,93,V,yes,U,Yes,Yes,,85b3fcb1-c173-4d40-939f-03631457d039,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
3,c30e2542-4764-4ee0-8aa0-6095b2e83731,3,VESP,117,S,,U,Yes,Yes,,85b3fcb1-c173-4d40-939f-03631457d039,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
4,aab10b78-33d1-4d2f-a983-e8097cf3b68b,4,WEME,113,V,Yes,U,Yes,Yes,,85b3fcb1-c173-4d40-939f-03631457d039,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
5,f23a8a60-6848-4cf1-a73e-fb37f03ea210,4,HOLA,161,S,,U,Yes,Yes,,85b3fcb1-c173-4d40-939f-03631457d039,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
6,070895b6-64e8-4dca-a927-6d6fb1adb5ef,5,WEME,99,S,,U,No,Yes,,85b3fcb1-c173-4d40-939f-03631457d039,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,No,
7,018ab202-9c9a-4189-a74f-06f38295c124,6,HOLA,29,S,,U,Yes,Yes,,85b3fcb1-c173-4d40-939f-03631457d039,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
8,fd4f2b23-c79c-4754-8fb3-a8ec35c92155,1,ROWR,212,S,Yes,U,Yes,Yes,,0c18fecd-d49c-47fa-a9f8-ded1c9b82656,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,No,
9,cc6acb8f-0583-46bd-b362-458d0a1e2f30,2,NOBI,0,V,,U,No,Yes,,0c18fecd-d49c-47fa-a9f8-ded1c9b82656,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,No,
10,c9759bb5-d0a2-4eb8-b426-b39134f246a7,3,VESP,70,S,,U,Yes,Yes,,0c18fecd-d49c-47fa-a9f8-ded1c9b82656,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
11,366cbc10-4122-4ed7-8841-976a538c9afd,4,VESP,89,S,,U,Yes,Yes,,0c18fecd-d49c-47fa-a9f8-ded1c9b82656,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
12,106d5e43-73c2-48be-b059-8add6e972d96,4,HOLA,65,S,,U,No,Yes,,0c18fecd-d49c-47fa-a9f8-ded1c9b82656,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
13,45bc87a3-2464-4155-a394-95724172d8f6,5,WEME,150,S,,U,No,Yes,,0c18fecd-d49c-47fa-a9f8-ded1c9b82656,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
14,3b61d9b5-0c5d-4efc-8594-d1f3efdd95be,5,WEME,94,S,,U,Yes,Yes,,0c18fecd-d49c-47fa-a9f8-ded1c9b82656,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
15,a25b0b77-fdaf-4bde-85b3-749fa0e9d48e,6,NOBI,0,V,,U,No,Yes,,0c18fecd-d49c-47fa-a9f8-ded1c9b82656,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,No,
16,67f534c4-937f-4332-8e20-6b7b939d9b52,1,VESP,49,S,,U,Yes,Yes,,e18b4335-27e3-44f2-8d39-c3ff5963643e,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
17,882cd490-c7c5-49db-a7f5-2a600c15eb4c,1,CORA,537,C,,U,Yes,Yes,,e18b4335-27e3-44f2-8d39-c3ff5963643e,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
18,1f28de0c-9cf1-4b42-8857-b050d9806037,2,ROWR,169,S,,U,Yes,Yes,,e18b4335-27e3-44f2-8d39-c3ff5963643e,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
19,5facd5dd-1bf8-46c7-b479-6c380d049fe7,3,HOLA,44,S,,U,Yes,Yes,,e18b4335-27e3-44f2-8d39-c3ff5963643e,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
20,383e4922-9718-47a3-aa35-d411de2c0947,3,VESP,108,S,,U,No,Yes,,e18b4335-27e3-44f2-8d39-c3ff5963643e,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
21,cd15fd80-c40a-4d22-b463-64c598595f16,4,WEME,195,S,,U,No,Yes,,e18b4335-27e3-44f2-8d39-c3ff5963643e,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
22,ee9ed6b1-4124-4db1-a062-74e5248c1e94,5,CORA,>600,C,,U,No,Yes,,e18b4335-27e3-44f2-8d39-c3ff5963643e,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
23,5001495d-43a0-41ef-a657-2df7c4264a4e,6,NOBI,0,V,,U,No,Yes,,e18b4335-27e3-44f2-8d39-c3ff5963643e,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,No,
24,f15e8788-5b4c-4c56-8a12-95379af01e17,1,VESP,56,S,,U,No,Yes,,54b79900-87e3-4523-ac70-87e9827f49ed,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
25,d44102b9-dcdb-4c2c-b824-e15ce50379be,2,CORA,416,C,,U,Yes,Yes,,54b79900-87e3-4523-ac70-87e9827f49ed,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
26,1005b176-f932-4377-8eb0-ea7c0ef351ad,2,CORA,416,C,,U,Yes,Yes,,54b79900-87e3-4523-ac70-87e9827f49ed,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
27,2cb26a0a-fc66-4e1a-aac6-ba23544eb80d,3,LASP,75yed,V,Yes,M,Yes,Yes,,54b79900-87e3-4523-ac70-87e9827f49ed,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
28,383bff98-3e27-440c-81a1-290859ab4eb6,4,LASP,34,V,Yes,F,Yes,Yes,,54b79900-87e3-4523-ac70-87e9827f49ed,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
29,1e7a5409-a92d-4a1b-bc78-82e3f4d5b57a,5,HOLA,152,S,,U,No,Yes,,54b79900-87e3-4523-ac70-87e9827f49ed,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
30,e76b4f51-6cc7-4e73-88f4-9da50e961d71,6,LASP,46,V,,U,Yes,Yes,,54b79900-87e3-4523-ac70-87e9827f49ed,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,No,
31,99b11145-5061-4d85-ac66-f673cac84572,1,WEME,409,S,,U,No,Yes,,9872fcde-0d60-4c5f-91f2-127f2b72a580,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
32,dc49b079-0d02-4705-a9ca-7a75aafbbc8a,1,WEME,318,S,,U,No,Yes,,9872fcde-0d60-4c5f-91f2-127f2b72a580,6/3/2022__11:57:54_AM,reggleston,6/3/2022__11:57:54_AM,reggleston,Yes,
