ObjectID,GlobalID,Date and Start Time,Observer Name,Transect ID,Visit #,Sky Start,Sky End,Wind Start,Wind End,Start Temperature,End Temperature,CreationDate,Creator,EditDate,Editor,x,y
1,1728d33d-cfaa-4f21-963a-3267c369f684,6/2/2022 1:14:00 PM,Rory Eggleston,B1,V1,0,0,1,1,43,50,6/3/2022 11:57:53 AM,reggleston,6/3/2022 11:57:53 AM,reggleston,-113.950880952286,41.5504719224214
2,8426be61-0c17-4e4a-9f35-e4ea9c6f009e,6/2/2022 1:14:00 PM,Eoin,B1,1,0,0,0,0,50,65,6/6/2022 3:52:59 AM,reggleston,6/6/2022 3:52:59 AM,reggleston,-113.9508496597,41.5505108257667
3,988e8067-7a72-4f88-92ff-069a898b1341,6/6/2022 12:46:00 PM,Ruger Carter,UT-C6,1,1,0,3,3,48,59,6/7/2022 4:31:42 AM,carter_ruger,6/7/2022 4:31:42 AM,carter_ruger,-114.005339240678,41.4171333357708
4,5780f4a2-324a-4e0d-9514-f4f891750fd8,6/7/2022 12:37:00 PM,Rory Eggleston,UT-B16,V1,1,1,0,1,44,66,6/8/2022 7:51:45 PM,carter_ruger,6/8/2022 7:51:45 PM,carter_ruger,-113.984919358151,41.863687466869
5,12fe59ad-23d9-40ce-88a6-7439176a19e8,6/8/2022 1:10:00 PM,Rory Eggleston,UT-C1,V1,1,2,0,1,50,85,6/8/2022 7:51:47 PM,carter_ruger,6/8/2022 7:51:47 PM,carter_ruger,-113.718304010214,41.5704525355637
6,f34414d6-2487-49cf-a630-69c8010e7818,6/2/2022 1:15:00 PM,eliza wesemann ,B1,B1,0,0,0,0,45,60,6/9/2022 6:57:20 PM,reggleston,6/9/2022 6:57:20 PM,reggleston,-113.950862772747,41.5504467859557
7,a78eaa74-d85c-4a97-86f3-ddd82a10f11e,6/6/2022 11:56:00 AM,Eliza Wesemann,UT-B5,01,0,0,2,1,40,55,6/9/2022 6:57:22 PM,reggleston,6/9/2022 6:57:22 PM,reggleston,-113.949791868063,41.5438860818621
8,d36e1b2d-50b4-44f8-a1c3-a827328e26f2,6/7/2022 12:28:00 PM,Eliza Wesemann,UT-B30,1,0,0,0,0,40,65,6/9/2022 6:57:25 PM,reggleston,6/9/2022 6:57:25 PM,reggleston,-114.00750189623,41.8672505513005
9,f1a1148f-1198-4d66-851c-af491209e9ac,6/8/2022 12:29:00 PM,Eliza Wesemann,UT-B1,1,0,2,0,0,40,65,6/9/2022 6:57:26 PM,reggleston,6/9/2022 6:57:26 PM,reggleston,-113.710352114153,41.5298394760601
10,3de1d951-c623-491d-b7e9-406d71d99ee4,6/9/2022 11:36:00 AM,Eliza Wesemann,UT-C22,1,0,0,0,0,45,70,6/9/2022 6:57:26 PM,reggleston,6/9/2022 6:57:26 PM,reggleston,-113.908424933567,41.6916804342023
