ObjectID,GlobalID,Date and Start Time,Observer Name,Other Observer Name,Transect ID,Visit Number,Start Temperature (Celcius),Wind Start,Sky Start,Sky End,End Temperature (Celcius),Wind End,Route Notes,CreationDate,Creator,EditDate,Editor,Track ID,End of Survey,Route ID,Route Type,Year,x,y
8,66724c37-b280-44b6-b456-7fa2aa13d8bf,5/16/2023 12:20:00 PM,trey_mccuen,,,1,7,1,0,0,15,1,,5/16/2023 4:04:47 PM,will.harrod,5/16/2023 4:04:47 PM,will.harrod,UT-C30 V1 2023,09:10,UT-C30,,y2,-113.914853453389,41.8044813150984
11,1fe1b402-c1ba-464c-9af7-c68e0c668be2,5/16/2023 12:05:00 PM,will_harrod,,,1,7,3,1,0,20,2,,5/16/2023 6:15:00 PM,will.harrod,5/16/2023 6:15:00 PM,will.harrod,ID-B11 V1 2023,10:19,ID-B11,b,y2,-113.446995051254,42.0982189615156
13,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 11:42:00 AM,will_harrod,,,1,10,2,1,0,18,3,,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,UT-C19 V1 2023,09:18,UT-C19,r,y2,-113.610673631292,41.9594215287147
15,848163b8-52af-4ce1-bf68-5f419da3cacf,5/22/2023 12:21:00 PM,anna_mumford,,,1,11,3,1,2,14,0,,5/22/2023 3:29:50 PM,will.harrod,5/22/2023 3:29:50 PM,will.harrod,UT-B06 V1 2023,09:20,UT-B06,b,y2,-113.94133754,41.4898154
17,292723ca-bf1a-4a38-ac60-5d4b2d31af6d,5/22/2023 12:16:00 PM,trey_mccuen,,,1,14,1,1,0,18,1,,5/22/2023 7:08:25 PM,will.harrod,5/22/2023 7:08:25 PM,will.harrod,UT-C05 V1 2023,09:43,UT-C05,b,y2,-113.943558773132,41.5338861477019
18,947e9162-a4c8-43bc-9cab-ff93c6812a43,5/23/2023 11:46:00 AM,trey_mccuen,,,1,10,1,1,0,16,0,,5/23/2023 2:11:28 PM,will.harrod,5/23/2023 2:11:28 PM,will.harrod,UT-C02 V1 2023,08:10,UT-C02,r,y2,-113.660493018211,41.564520159775
19,bcfeefe9-7e31-4147-a4a5-751c55e0e52e,5/23/2023 11:57:00 AM,keramie_hamby,,,1,13,1,2,1,17,0,,5/23/2023 2:58:30 PM,will.harrod,5/23/2023 2:58:30 PM,will.harrod,UT-B02 V1 2023,,UT-B02,b,y2,-113.62978013278,41.5471001207639
20,b25cdce7-a198-4da6-8c0b-626c826837b2,5/23/2023 12:14:00 PM,anna_mumford,,,1,13,2,1,0,18,1,,5/23/2023 3:22:57 PM,will.harrod,5/23/2023 3:22:57 PM,will.harrod,ID-C11 V1 2023,09:16,ID-C11,r,y2,-113.43214482,42.1427089
21,21052aeb-7364-4b37-a97f-03c3b6aa73ad,5/23/2023 12:27:00 PM,rory_eggleston,,,1,9,0,1,1,16,0,,5/23/2023 11:52:43 PM,will.harrod,5/23/2023 11:52:43 PM,will.harrod,ID-C07 V1 2023,09:35,ID-C07,c,,-113.421438064378,42.145225170614
22,afa736ba-338b-49d0-99d2-9535f841bcd7,5/19/2023 11:49:00 AM,will_harrod,,,1,10,3,3,3,18,2,Points 12 and 16 inaccessable due to being on private property,5/23/2023 11:55:07 PM,will.harrod,5/23/2023 11:55:07 PM,will.harrod,UT-C24 V1 2023,,UT-C24,r,y2,-113.945589185642,41.7883946851303
23,cd4ac252-9b2a-444c-9a6f-c86e6dde8076,5/23/2023 11:36:00 AM,will_harrod,,,1,10,2,1,0,20,2,So many PIJA fledgelings along this route?,5/23/2023 11:55:08 PM,will.harrod,5/23/2023 11:55:08 PM,will.harrod,UT-C01 V1 2023,08:39,UT-C01,r,y2,-113.718261402075,41.5703715998599
24,82cf61dd-bafe-4c65-a35b-171c1896bfdc,5/22/2023 11:46:00 AM,devon_erwin,,,1,12,3,1,1,15,1,,5/24/2023 2:14:35 PM,will.harrod,5/24/2023 2:14:35 PM,will.harrod,UT-B05 V1 2023,09:46,UT-B05,b,y2,-113.95016013,41.5506328
25,6b8e3167-64e6-436e-a86b-662aa633022e,5/23/2023 11:54:00 AM,devon_erwin,,,1,10,1,1,1,18,1,,5/24/2023 2:14:36 PM,will.harrod,5/24/2023 2:14:36 PM,will.harrod,UT-B01 V1 2023,09:34,UT-B01,b,y2,-113.71970794,41.53639111
26,80abe2ec-e4ae-42b8-89b7-c263ba405df2,5/25/2023 11:58:00 AM,anna_mumford,,,1,7,1,0,2,12,1,,5/25/2023 7:16:49 PM,will.harrod,5/25/2023 7:16:49 PM,will.harrod,UT-B25 V1 2023,09:09,UT-B25,b,y2,-114.03530498,41.79547615
27,e8c617af-856e-46ac-b738-ae83835ffa2c,5/25/2023 11:53:00 AM,devon_erwin,,,1,7,0,0,0,17,1,"Extremely steep, lots of bushwacking.",5/25/2023 8:42:32 PM,will.harrod,5/25/2023 8:42:32 PM,will.harrod,UT-B25 V1 2023,11:31,UT-B25,b,y2,-114.00056693,41.8426511
28,bb4336c3-b28b-4c7b-86df-20ab4af3c346,5/25/2023 12:41:00 PM,rory_eggleston,,,1,9,0,1,1,14,1,Point 11 may be the wrong location-OnX went weird for a few minutes and I think took me like 100m too far west,5/25/2023 8:43:30 PM,will.harrod,5/25/2023 8:43:30 PM,will.harrod,UT-B08 V1 2023,10:52,UT-B08,b,,-114.011677361844,41.7819450583371
29,448aeff4-b936-434e-82b7-660d4c2358a5,5/25/2023 12:45:00 PM,thea_mills,,,1,9,2,1,0,17,1,,5/26/2023 4:41:40 PM,will.harrod,5/26/2023 4:41:40 PM,will.harrod,UT-B30 V1 2023,11:09,UT-B30,b,y2,-114.016916183861,41.8609412620234
30,8f377308-dd1a-4e30-a094-88d1bbb9e921,5/26/2023 12:13:00 PM,thea_mills,,,1,8,0,1,0,15,0,,5/26/2023 4:41:42 PM,will.harrod,5/26/2023 4:41:42 PM,will.harrod,,09:22,UT-C22,r,y2,-113.909315094458,41.6935106087864
31,2b7a8fdc-26a8-4258-b447-ee59b571dc1a,5/26/2023 12:00:00 PM,trey_mccuen,,,1,9,1,0,0,16,1,,5/26/2023 11:09:16 PM,will.harrod,5/26/2023 11:09:16 PM,will.harrod,UT-B27 V1 2023,09:16,UT-B27,b,y2,-114.029205227377,41.88974068504
32,377aa3dc-db74-4d3a-b05e-240819f787d0,5/26/2023 11:45:00 AM,will_harrod,,,1,7,2,0,0,18,1,,5/28/2023 2:10:09 PM,will.harrod,5/28/2023 2:10:09 PM,will.harrod,UT-C16 V1 2023,06:02,UT-C16,r,y2,-113.966788705778,41.913727792863
33,86fb9169-9c90-45b3-a33c-b153feec3394,5/28/2023 11:35:00 AM,will_harrod,,,1,9,1,4,0,14,1, Rangefinder lost batteries at point 14. All distances estimated after that.,5/28/2023 2:10:11 PM,will.harrod,5/28/2023 2:10:11 PM,will.harrod,ID-B22 V1 2023,08:09,ID-B22,b,y2,-112.964718050017,42.101055289268
35,f4fc1d6f-13fb-44d2-aad8-2b17096f5669,5/30/2023 12:43:00 PM,thea_mills,,,1,13,1,1,1,17,0,close to high way traffic sometimes too loud. also think i saw a barn owl ,5/30/2023 4:35:06 PM,will.harrod,5/30/2023 4:35:06 PM,will.harrod,,10:34,ID-B03,b,y2,-113.271899772913,42.0983506646399
36,f66b2531-dfe1-4a7c-8df2-d5475691afd7,5/29/2023 12:25:00 PM,will_harrod,,,1,8,1,1,0,13,1,,5/31/2023 3:01:36 PM,will.harrod,5/31/2023 3:01:36 PM,will.harrod,ID-B28 V1 2023,09:29,ID-B28,b,y2,-113.744879215854,42.0144691203887
37,906fd515-a81b-4b56-94e4-1bf0ec9d31f1,5/30/2023 11:50:00 AM,will_harrod,,,1,9,2,1,0,15,2,,5/31/2023 3:01:38 PM,will.harrod,5/31/2023 3:01:38 PM,will.harrod,ID-C23 V1 2023,,ID-C23,b,y2,-113.14108050928,42.0504018913879
