ObjectID,GlobalID,Date and Start Time,Observer Name,Other Observer Name,Year,Route ID,Route Type,Visit Number,Start Temperature (Celcius),Wind Start,Sky Start,End of Survey. Fill this out before nest searching,Sky End,End Temperature (Celcius),Wind End,Route Notes,CreationDate,Creator,EditDate,Editor,x,y
2,97c97f44-4c6d-40fd-ad5a-c10c26466611,5/9/2024 12:44:00 PM,Rory Eggleston,,Y3,UT-C02,R,V1,6,3,Partly Cloudy,08:46,Partly Cloudy,8,2,,5/9/2024 2:47:09 PM,reggleston,5/9/2024 2:47:09 PM,reggleston,-113.657598433187,41.5670763344
3,d4eee6be-72c2-4636-94ee-2e54c96f2f25,5/9/2024 12:13:00 PM,Thomas Kroot,,Y3,UT-B02,B,V1,5,2,Partly Cloudy,,Partly Cloudy,9,1,,5/9/2024 6:01:38 PM,will.harrod,5/9/2024 6:01:38 PM,will.harrod,-113.62645759,41.54965322
4,e64e1e9c-6170-492f-a1c6-720babdad008,5/9/2024 1:30:00 PM,Ben Zimmermann,,Y3,UT-C01,R,V1,4,4,Partly Cloudy,22:31,Partly Cloudy,11,4,Heavy wind on a few points (indicated in point notes),5/9/2024 6:33:21 PM,will.harrod,5/9/2024 6:33:21 PM,will.harrod,-113.71850848,41.57485674
5,36ed9ee8-1233-4d6d-90d6-01d1f876f09c,5/9/2024 12:35:00 PM,Will Harrod,,Y3,UT-B01,B,V1,4,4,Partly Cloudy,09:25,Partly Cloudy,7,4,Wind was very loud until 8:30. Definitely limited ability to hear some songs,5/10/2024 12:52:18 AM,will.harrod,5/10/2024 12:52:18 AM,will.harrod,-113.713313296315,41.529813366982
6,668c8efd-e336-486d-a40b-1a43a71ad99d,5/10/2024 12:31:00 PM,Ben Zimmermann,,Y3,ID-B21,B,V1,5,2,Clear,10:07,Clear,13,3,Cheat grass not dominant in most places,5/10/2024 5:14:56 PM,will.harrod,5/10/2024 5:14:56 PM,will.harrod,-113.02796465,42.02362429
7,2f796e73-d9e5-493b-a72f-fdc3723dc5fc,5/13/2024 11:49:00 AM,Will Harrod,,Y3,UT-C08,R,V1,6,2,Clear,08:49,Partly Cloudy,10,1,,5/13/2024 3:27:22 PM,will.harrod,5/13/2024 3:27:22 PM,will.harrod,-113.965504488312,41.7881480584193
8,477c1b4f-ad5f-4486-96b2-98c732d55864,5/14/2024 11:46:00 AM,Will Harrod,,Y3,UT-B25,B,V1,6,1,Clear,08:46,Clear,14,2,Rangefinder broken. All diatances estimated ,5/14/2024 2:47:41 PM,will.harrod,5/14/2024 2:47:41 PM,will.harrod,-113.997466463332,41.842427197522
9,ff75bc23-125d-48bf-b585-c368edd6383c,5/14/2024 12:11:00 PM,Rory Eggleston,,Y3,UT-B16,B,V1,5,0,Partly Cloudy,10:36,Clear,18,2,,5/14/2024 5:48:08 PM,reggleston,5/14/2024 5:48:08 PM,reggleston,-113.984930300012,41.8636965550746
10,0c4b4f31-ed04-4c04-84a8-31c197a395d4,5/14/2024 11:49:00 AM,Ben Zimmermann,,Y3,UT-B30,B,V1,8,2,Partly Cloudy,09:34,Clear,15,1,,5/14/2024 7:17:36 PM,will.harrod,5/14/2024 7:17:36 PM,will.harrod,-114.00750017,41.86739834
11,273b03a1-a86e-4cb8-82d8-fc8016656375,5/14/2024 11:46:00 AM,Thomas Kroot,,Y3,UT-B15,B,V1,7,1,Clear,09:01,Clear,8,3,Fence before 12 to 16 not able to be crawled under,5/14/2024 11:29:20 PM,will.harrod,5/14/2024 11:29:20 PM,will.harrod,-113.96739588,41.8468346
