"","Grid.ID","Grid.Type","Visit.ID","Ord.Date","Year","Observer.ID","Mean.MAS","n.Points","Count","n.Observers","Observer.Year","Observer.Experience","Imputed"
"1","ID-B03","R","Y1-V1",171,"Y1","Austin",157.6875,16,19,1,"Austin Y1",1,FALSE
"2","ID-B03","R","Y1-V2",181,"Y1","Ruger",154,16,23,1,"Ruger Y1",2,FALSE
"3","ID-B03","R","Y2-V1",149,"Y2","Thea",185.3125,16,28,1,"Thea Y2",2,FALSE
"4","ID-B03","R","Y2-V2",165,"Y2","Devin",146.5625,16,43,1,"Devin Y2",1,FALSE
"5","ID-B03","R","Y3-V1",141,"Y3","Thomas",115.4375,16,23,1,"Thomas Y3",1,FALSE
"6","ID-B03","R","Y3-V2",158,"Y3","Ben",103.1875,16,36,1,"Ben Y3",1,FALSE
"7","ID-B04","B","Y1-V1",178,"Y1","Ruger",152.375,16,6,1,"Ruger Y1",2,FALSE
"8","ID-B04","B","Y1-V2",190,"Y1","Rory",167.8125,16,0,1,"Rory Y1",2,FALSE
"9","ID-B04","B","Y2-V1",158,"Y2","Thea",173.1875,16,18,1,"Thea Y2",2,FALSE
"10","ID-B04","B","Y2-V2",171,"Y2","Thea",164.6875,16,6,1,"Thea Y2",2,FALSE
"11","ID-B04","B","Y3-V1",143,"Y3","Ben",103.6875,16,33,1,"Ben Y3",1,FALSE
"12","ID-B04","B","Y3-V2",155,"Y3","Ben",111.375,16,21,1,"Ben Y3",1,FALSE
"13","ID-B07","B","Y1-V1",171,"Y1","Eliza",217.9375,16,0,1,"Eliza Y1",1,FALSE
"14","ID-B07","B","Y1-V2",177,"Y1","Keramie",184.1875,16,8,1,"Keramie Y1",1,FALSE
"15","ID-B07","B","Y2-V1",156,"Y2","Keramie",195.25,8,1,1,"Keramie Y2",1,FALSE
"16","ID-B07","B","Y2-V2",165,"Y2","Will",80.4375,16,2,1,"Will Y2",2,FALSE
"17","ID-B07","B","Y3-V1",140,"Y3","Ben",150.6875,16,5,1,"Ben Y3",1,FALSE
"18","ID-B07","B","Y3-V2",154,"Y3","Aidan",123.5,16,15,1,"Aidan Y3",1,FALSE
"19","ID-B09","B","Y1-V1",163,"Y1","Austin",171.125,16,9,1,"Austin Y1",1,FALSE
