"","Grid.ID","Observer.ID","Observer.Experience","Distance","Dist.Bin","Dist.Bin.Midpoint","Time.Interval","Year","Visit.ID","n.Observers"
"1","ID-B03","Austin",1,0.012,1,0.0125,2,"Y1","Y1-V1",1
"2","ID-B03","Austin",1,0.08,4,0.0875,2,"Y1","Y1-V1",1
"3","ID-B03","Austin",1,0.078,4,0.0875,3,"Y1","Y1-V1",1
"4","ID-B03","Austin",1,0.068,3,0.0625,2,"Y1","Y1-V1",1
"5","ID-B03","Austin",1,0.1,4,0.0875,1,"Y1","Y1-V1",1
"6","ID-B03","Austin",1,0.05,2,0.0375,1,"Y1","Y1-V1",1
"7","ID-B03","Austin",1,0.043,2,0.0375,1,"Y1","Y1-V1",1
"8","ID-B03","Austin",1,0.051,3,0.0625,1,"Y1","Y1-V1",1
"9","ID-B03","Austin",1,0.08,4,0.0875,1,"Y1","Y1-V1",1
"10","ID-B03","Austin",1,0.041,2,0.0375,1,"Y1","Y1-V1",1
"11","ID-B03","Austin",1,0.053,3,0.0625,1,"Y1","Y1-V1",1
"12","ID-B03","Austin",1,0.091,4,0.0875,1,"Y1","Y1-V1",1
"13","ID-B03","Austin",1,0.106,5,0.1125,1,"Y1","Y1-V1",1
"14","ID-B03","Austin",1,0.091,4,0.0875,1,"Y1","Y1-V1",1
"15","ID-B03","Austin",1,0.071,3,0.0625,1,"Y1","Y1-V1",1
"16","ID-B03","Austin",1,0.093,4,0.0875,1,"Y1","Y1-V1",1
"17","ID-B03","Austin",1,0.102,5,0.1125,2,"Y1","Y1-V1",1
"18","ID-B03","Austin",1,0.027,2,0.0375,3,"Y1","Y1-V1",1
"19","ID-B03","Austin",1,0.063,3,0.0625,1,"Y1","Y1-V1",1
"20","ID-B04","Ruger",2,0.068,3,0.0625,1,"Y1","Y1-V1",1
"21","ID-B04","Ruger",2,0.013,1,0.0125,1,"Y1","Y1-V1",1
"22","ID-B04","Ruger",2,0.04,2,0.0375,1,"Y1","Y1-V1",1
"23","ID-B04","Ruger",2,0.04,2,0.0375,1,"Y1","Y1-V1",1
"24","ID-B04","Ruger",2,0.069,3,0.0625,2,"Y1","Y1-V1",1
"25","ID-B04","Ruger",2,0.056,3,0.0625,2,"Y1","Y1-V1",1
"26","ID-B09","Austin",1,0.011,1,0.0125,3,"Y1","Y1-V1",1
"27","ID-B09","Austin",1,0.058,3,0.0625,2,"Y1","Y1-V1",1
"28","ID-B09","Austin",1,0.023,1,0.0125,2,"Y1","Y1-V1",1
"29","ID-B09","Austin",1,0.076,4,0.0875,2,"Y1","Y1-V1",1
"30","ID-B09","Austin",1,0.083,4,0.0875,1,"Y1","Y1-V1",1
"31","ID-B09","Austin",1,0.034,2,0.0375,1,"Y1","Y1-V1",1
"32","ID-B09","Austin",1,0.035,2,0.0375,1,"Y1","Y1-V1",1
"33","ID-B09","Austin",1,0.091,4,0.0875,1,"Y1","Y1-V1",1
"34","ID-B09","Austin",1,0.048,2,0.0375,2,"Y1","Y1-V1",1
"35","ID-B11","Rory",2,0.11,5,0.1125,2,"Y1","Y1-V1",1
"36","ID-B11","Rory",2,0.049,2,0.0375,3,"Y1","Y1-V1",1
"37","ID-B12","Eliza",1,0.08,4,0.0875,3,"Y1","Y1-V1",1
"38","ID-B13","Ruger",2,0.12,5,0.1125,1,"Y1","Y1-V1",1
"39","ID-B13","Ruger",2,0.079,4,0.0875,1,"Y1","Y1-V1",1
"40","ID-B13","Ruger",2,0.042,2,0.0375,1,"Y1","Y1-V1",1
"41","ID-B13","Ruger",2,0.029,2,0.0375,1,"Y1","Y1-V1",1
"42","ID-B13","Ruger",2,0.078,4,0.0875,1,"Y1","Y1-V1",1
"43","ID-B13","Ruger",2,0.05,2,0.0375,1,"Y1","Y1-V1",1
"44","ID-B13","Ruger",2,0.077,4,0.0875,1,"Y1","Y1-V1",1
"45","ID-B13","Ruger",2,0.096,4,0.0875,1,"Y1","Y1-V1",1
"46","ID-B13","Ruger",2,0.102,5,0.1125,1,"Y1","Y1-V1",1
"47","ID-B13","Ruger",2,0.022,1,0.0125,3,"Y1","Y1-V1",1
"48","ID-B13","Ruger",2,0.104,5,0.1125,2,"Y1","Y1-V1",1
"49","ID-B13","Ruger",2,0.057,3,0.0625,1,"Y1","Y1-V1",1
"50","ID-B13","Ruger",2,0.095,4,0.0875,1,"Y1","Y1-V1",1
"51","ID-B13","Ruger",2,0.045,2,0.0375,1,"Y1","Y1-V1",1
"52","ID-B13","Ruger",2,0.061,3,0.0625,1,"Y1","Y1-V1",1
"53","ID-B13","Ruger",2,0.093,4,0.0875,2,"Y1","Y1-V1",1
"54","ID-B13","Ruger",2,0.077,4,0.0875,1,"Y1","Y1-V1",1
"55","ID-B13","Ruger",2,0.097,4,0.0875,2,"Y1","Y1-V1",1
"56","ID-B13","Ruger",2,0.101,5,0.1125,3,"Y1","Y1-V1",1
"57","ID-B13","Ruger",2,0.077,4,0.0875,1,"Y1","Y1-V1",1
"58","ID-B13","Ruger",2,0.116,5,0.1125,2,"Y1","Y1-V1",1
"59","ID-B13","Ruger",2,0.095,4,0.0875,1,"Y1","Y1-V1",1
"60","ID-B13","Ruger",2,0.082,4,0.0875,1,"Y1","Y1-V1",1
"61","ID-B13","Ruger",2,0.12,5,0.1125,3,"Y1","Y1-V1",1
"62","ID-B13","Ruger",2,0.055,3,0.0625,1,"Y1","Y1-V1",1
"63","ID-B13","Ruger",2,0.065,3,0.0625,1,"Y1","Y1-V1",1
"64","ID-B13","Ruger",2,0.071,3,0.0625,1,"Y1","Y1-V1",1
"65","ID-B19","Rory",2,0.095,4,0.0875,2,"Y1","Y1-V1",2
"66","ID-B19","Austin",1,0.09,4,0.0875,2,"Y1","Y1-V1",2
"67","ID-B19","Austin",1,0.096,4,0.0875,1,"Y1","Y1-V1",2
"68","ID-B19","Austin",1,0.026,2,0.0375,3,"Y1","Y1-V1",2
"69","ID-B19","Rory",2,0.12,5,0.1125,2,"Y1","Y1-V1",2
"70","ID-B19","Rory",2,0.06,3,0.0625,3,"Y1","Y1-V1",2
"71","ID-B19","Austin",1,0.108,5,0.1125,1,"Y1","Y1-V1",2
"72","ID-B19","Austin",1,0.101,5,0.1125,3,"Y1","Y1-V1",2
"73","ID-B22","Rory",2,0.098,4,0.0875,2,"Y1","Y1-V1",1
"74","ID-B22","Rory",2,0.101,5,0.1125,3,"Y1","Y1-V1",1
"75","ID-B22","Rory",2,0.078,4,0.0875,3,"Y1","Y1-V1",1
"76","ID-B22","Rory",2,0.033,2,0.0375,3,"Y1","Y1-V1",1
"77","ID-B22","Rory",2,0.091,4,0.0875,3,"Y1","Y1-V1",1
"78","ID-B22","Rory",2,0.081,4,0.0875,1,"Y1","Y1-V1",1
