"","Grid.ID","Observer.ID","Observer.Experience","Distance","Dist.Bin","Dist.Bin.Midpoint","Time.Interval","Year","Visit.ID","n.Observers"
"1","ID-B09","Austin",1,0.091,4,0.0875,3,"Y1","Y1-V1",1
"2","ID-B09","Austin",1,0.08,4,0.0875,1,"Y1","Y1-V1",1
"3","ID-B09","Austin",1,0.089,4,0.0875,1,"Y1","Y1-V1",1
"4","ID-B09","Austin",1,0.043,2,0.0375,1,"Y1","Y1-V1",1
"5","ID-B09","Austin",1,0.113,5,0.1125,2,"Y1","Y1-V1",1
"6","ID-B09","Austin",1,0.093,4,0.0875,1,"Y1","Y1-V1",1
"7","ID-B19","Austin",1,0.051,3,0.0625,1,"Y1","Y1-V1",2
"8","ID-B22","Rory",2,0.044,2,0.0375,1,"Y1","Y1-V1",1
"9","ID-B22","Rory",2,0.098,4,0.0875,1,"Y1","Y1-V1",1
"10","ID-B23","Rory",2,0.077,4,0.0875,2,"Y1","Y1-V1",1
"11","ID-B23","Rory",2,0.035,2,0.0375,1,"Y1","Y1-V1",1
"12","ID-B23","Rory",2,0.123,5,0.1125,1,"Y1","Y1-V1",1
"13","ID-B23","Rory",2,0.1,4,0.0875,1,"Y1","Y1-V1",1
"14","ID-B23","Rory",2,0.012,1,0.0125,2,"Y1","Y1-V1",1
"15","ID-B23","Rory",2,0.021,1,0.0125,1,"Y1","Y1-V1",1
"16","ID-B23","Rory",2,0.089,4,0.0875,1,"Y1","Y1-V1",1
"17","ID-B23","Rory",2,0.067,3,0.0625,2,"Y1","Y1-V1",1
"18","ID-B23","Rory",2,0.058,3,0.0625,2,"Y1","Y1-V1",1
"19","ID-B23","Rory",2,0.064,3,0.0625,1,"Y1","Y1-V1",1
"20","ID-B23","Rory",2,0.101,5,0.1125,1,"Y1","Y1-V1",1
"21","ID-B23","Rory",2,0.059,3,0.0625,1,"Y1","Y1-V1",1
"22","ID-B23","Rory",2,0.039,2,0.0375,3,"Y1","Y1-V1",1
"23","ID-B23","Rory",2,0.106,5,0.1125,1,"Y1","Y1-V1",1
"24","ID-B23","Rory",2,0.061,3,0.0625,1,"Y1","Y1-V1",1
"25","ID-B23","Rory",2,0.009,1,0.0125,1,"Y1","Y1-V1",1
"26","ID-B23","Rory",2,0.119,5,0.1125,1,"Y1","Y1-V1",1
"27","ID-B23","Rory",2,0.031,2,0.0375,2,"Y1","Y1-V1",1
"28","ID-C09","Ruger",2,0.04,2,0.0375,1,"Y1","Y1-V1",1
"29","ID-C09","Ruger",2,0.034,2,0.0375,3,"Y1","Y1-V1",1
"30","ID-C09","Ruger",2,0.034,2,0.0375,3,"Y1","Y1-V1",1
"31","ID-C09","Ruger",2,0.038,2,0.0375,3,"Y1","Y1-V1",1
"32","ID-C09","Ruger",2,0.1,4,0.0875,3,"Y1","Y1-V1",1
"33","ID-C09","Ruger",2,0.045,2,0.0375,1,"Y1","Y1-V1",1
"34","ID-C09","Ruger",2,0.008,1,0.0125,2,"Y1","Y1-V1",1
"35","ID-C09","Ruger",2,0.007,1,0.0125,1,"Y1","Y1-V1",1
"36","ID-C09","Ruger",2,0.062,3,0.0625,3,"Y1","Y1-V1",1
"37","ID-C09","Ruger",2,0.075,3,0.0625,3,"Y1","Y1-V1",1
"38","ID-C09","Ruger",2,0.035,2,0.0375,3,"Y1","Y1-V1",1
"39","ID-C09","Ruger",2,0.062,3,0.0625,3,"Y1","Y1-V1",1
"40","ID-C09","Ruger",2,0.12,5,0.1125,3,"Y1","Y1-V1",1
"41","ID-C12","Ruger",2,0.057,3,0.0625,2,"Y1","Y1-V1",1
"42","ID-C12","Ruger",2,0.045,2,0.0375,1,"Y1","Y1-V1",1
"43","ID-C12","Ruger",2,0.1,4,0.0875,1,"Y1","Y1-V1",1
"44","ID-C12","Ruger",2,0.06,3,0.0625,3,"Y1","Y1-V1",1
"45","ID-C12","Ruger",2,0.065,3,0.0625,3,"Y1","Y1-V1",1
"46","ID-C13","Rory",2,0.07,3,0.0625,1,"Y1","Y1-V1",1
"47","ID-C13","Rory",2,0.12,5,0.1125,1,"Y1","Y1-V1",1
"48","ID-C13","Rory",2,0.035,2,0.0375,2,"Y1","Y1-V1",1
"49","ID-C13","Rory",2,0.102,5,0.1125,1,"Y1","Y1-V1",1
"50","ID-C13","Rory",2,0.043,2,0.0375,1,"Y1","Y1-V1",1
"51","ID-C13","Rory",2,0.057,3,0.0625,2,"Y1","Y1-V1",1
"52","ID-C13","Rory",2,0.092,4,0.0875,3,"Y1","Y1-V1",1
"53","ID-C13","Rory",2,0.024,1,0.0125,3,"Y1","Y1-V1",1
"54","ID-C13","Rory",2,0.035,2,0.0375,1,"Y1","Y1-V1",1
"55","ID-C13","Rory",2,0.122,5,0.1125,1,"Y1","Y1-V1",1
"56","ID-C13","Rory",2,0.049,2,0.0375,1,"Y1","Y1-V1",1
"57","ID-C13","Rory",2,0.053,3,0.0625,1,"Y1","Y1-V1",1
"58","ID-C13","Rory",2,0.074,3,0.0625,1,"Y1","Y1-V1",1
"59","ID-C13","Rory",2,0.079,4,0.0875,2,"Y1","Y1-V1",1
"60","ID-C13","Rory",2,0.014,1,0.0125,1,"Y1","Y1-V1",1
"61","ID-C13","Rory",2,0.022,1,0.0125,1,"Y1","Y1-V1",1
"62","ID-C13","Rory",2,0.011,1,0.0125,3,"Y1","Y1-V1",1
"63","ID-C13","Rory",2,0.051,3,0.0625,1,"Y1","Y1-V1",1
"64","ID-C13","Rory",2,0.053,3,0.0625,1,"Y1","Y1-V1",1
"65","ID-C13","Rory",2,0.09,4,0.0875,1,"Y1","Y1-V1",1
"66","ID-C13","Rory",2,0.05,2,0.0375,1,"Y1","Y1-V1",1
"67","ID-C13","Rory",2,0.082,4,0.0875,1,"Y1","Y1-V1",1
"68","ID-C13","Rory",2,0.021,1,0.0125,3,"Y1","Y1-V1",1
"69","ID-C13","Rory",2,0.059,3,0.0625,1,"Y1","Y1-V1",1
"70","ID-C13","Rory",2,0.118,5,0.1125,1,"Y1","Y1-V1",1
"71","ID-C13","Rory",2,0.047,2,0.0375,1,"Y1","Y1-V1",1
"72","ID-C13","Rory",2,0.07,3,0.0625,1,"Y1","Y1-V1",1
"73","ID-C13","Rory",2,0.084,4,0.0875,1,"Y1","Y1-V1",1
"74","ID-C13","Rory",2,0.125,5,0.1125,2,"Y1","Y1-V1",1
"75","ID-C13","Rory",2,0.111,5,0.1125,1,"Y1","Y1-V1",1
"76","ID-C13","Rory",2,0.076,4,0.0875,1,"Y1","Y1-V1",1
"77","ID-C13","Rory",2,0.068,3,0.0625,2,"Y1","Y1-V1",1
"78","ID-C19","Eliza",1,0.065,3,0.0625,1,"Y1","Y1-V1",1
"79","ID-C19","Eliza",1,0.08,4,0.0875,1,"Y1","Y1-V1",1
"80","ID-C19","Eliza",1,0.12,5,0.1125,2,"Y1","Y1-V1",1
"81","ID-C19","Eliza",1,0.05,2,0.0375,1,"Y1","Y1-V1",1
"82","ID-C19","Eliza",1,0.08,4,0.0875,1,"Y1","Y1-V1",1
"83","ID-C19","Eliza",1,0.05,2,0.0375,3,"Y1","Y1-V1",1
"84","ID-C23","Eoin",1,0.05,2,0.0375,1,"Y1","Y1-V1",1
"85","ID-C23","Eoin",1,0.115,5,0.1125,1,"Y1","Y1-V1",1
"86","ID-C23","Eoin",1,0.095,4,0.0875,1,"Y1","Y1-V1",1
"87","ID-C23","Eoin",1,0.12,5,0.1125,1,"Y1","Y1-V1",1
"88","ID-C23","Eoin",1,0.045,2,0.0375,1,"Y1","Y1-V1",1
"89","ID-C23","Eoin",1,0.06,3,0.0625,2,"Y1","Y1-V1",1
"90","ID-C23","Eoin",1,0.122,5,0.1125,1,"Y1","Y1-V1",1
"91","ID-C23","Eoin",1,0.095,4,0.0875,2,"Y1","Y1-V1",1
"92","ID-C23","Eoin",1,0.08,4,0.0875,1,"Y1","Y1-V1",1
"93","ID-C23","Eoin",1,0.053,3,0.0625,1,"Y1","Y1-V1",1
"94","ID-C23","Eoin",1,0.065,3,0.0625,1,"Y1","Y1-V1",1
"95","ID-C23","Eoin",1,0.06,3,0.0625,1,"Y1","Y1-V1",1
