"","Grid.ID","Observer.ID","Observer.Experience","Distance","Dist.Bin","Dist.Bin.Midpoint","Time.Interval","Year","Visit.ID","n.Observers"
"1","ID-B03","Austin",1,0.089,4,0.0875,1,"Y1","Y1-V1",1
"2","ID-B03","Austin",1,0.116,5,0.1125,3,"Y1","Y1-V1",1
"3","ID-B03","Austin",1,0.099,4,0.0875,3,"Y1","Y1-V1",1
"4","ID-B03","Austin",1,0.087,4,0.0875,1,"Y1","Y1-V1",1
"5","ID-B03","Austin",1,0.086,4,0.0875,1,"Y1","Y1-V1",1
"6","ID-B03","Austin",1,0.122,5,0.1125,3,"Y1","Y1-V1",1
"7","ID-B03","Austin",1,0.07,3,0.0625,2,"Y1","Y1-V1",1
"8","ID-B03","Austin",1,0.084,4,0.0875,2,"Y1","Y1-V1",1
"9","ID-B03","Austin",1,0.107,5,0.1125,1,"Y1","Y1-V1",1
"10","ID-B03","Austin",1,0.071,3,0.0625,2,"Y1","Y1-V1",1
"11","ID-B04","Ruger",2,0.08,4,0.0875,1,"Y1","Y1-V1",1
"12","ID-B04","Ruger",2,0.044,2,0.0375,1,"Y1","Y1-V1",1
"13","ID-B04","Ruger",2,0.06,3,0.0625,1,"Y1","Y1-V1",1
"14","ID-B04","Ruger",2,0.066,3,0.0625,1,"Y1","Y1-V1",1
"15","ID-B04","Ruger",2,0.055,3,0.0625,1,"Y1","Y1-V1",1
"16","ID-B04","Ruger",2,0.039,2,0.0375,1,"Y1","Y1-V1",1
"17","ID-B04","Ruger",2,0.042,2,0.0375,2,"Y1","Y1-V1",1
"18","ID-B04","Ruger",2,0.06,3,0.0625,1,"Y1","Y1-V1",1
"19","ID-B04","Ruger",2,0.07,3,0.0625,1,"Y1","Y1-V1",1
"20","ID-B04","Ruger",2,0.055,3,0.0625,2,"Y1","Y1-V1",1
"21","ID-B04","Ruger",2,0.029,2,0.0375,1,"Y1","Y1-V1",1
"22","ID-B04","Ruger",2,0.05,2,0.0375,1,"Y1","Y1-V1",1
"23","ID-B04","Ruger",2,0.039,2,0.0375,1,"Y1","Y1-V1",1
"24","ID-B04","Ruger",2,0.078,4,0.0875,3,"Y1","Y1-V1",1
"25","ID-B04","Ruger",2,0.08,4,0.0875,2,"Y1","Y1-V1",1
"26","ID-B04","Ruger",2,0.057,3,0.0625,3,"Y1","Y1-V1",1
"27","ID-B04","Ruger",2,0.05,2,0.0375,1,"Y1","Y1-V1",1
"28","ID-B04","Ruger",2,0.03,2,0.0375,1,"Y1","Y1-V1",1
"29","ID-B04","Ruger",2,0.03,2,0.0375,1,"Y1","Y1-V1",1
"30","ID-B04","Ruger",2,0.03,2,0.0375,1,"Y1","Y1-V1",1
"31","ID-B04","Ruger",2,0.03,2,0.0375,1,"Y1","Y1-V1",1
"32","ID-B04","Ruger",2,0.03,2,0.0375,1,"Y1","Y1-V1",1
"33","ID-B04","Ruger",2,0.045,2,0.0375,2,"Y1","Y1-V1",1
"34","ID-B04","Ruger",2,0.045,2,0.0375,2,"Y1","Y1-V1",1
"35","ID-B04","Ruger",2,0.067,3,0.0625,1,"Y1","Y1-V1",1
"36","ID-B04","Ruger",2,0.077,4,0.0875,1,"Y1","Y1-V1",1
"37","ID-B04","Ruger",2,0.081,4,0.0875,1,"Y1","Y1-V1",1
"38","ID-B04","Ruger",2,0.045,2,0.0375,1,"Y1","Y1-V1",1
"39","ID-B04","Ruger",2,0.088,4,0.0875,1,"Y1","Y1-V1",1
"40","ID-B04","Ruger",2,0.073,3,0.0625,1,"Y1","Y1-V1",1
"41","ID-B04","Ruger",2,0.077,4,0.0875,2,"Y1","Y1-V1",1
"42","ID-B11","Rory",2,0.104,5,0.1125,2,"Y1","Y1-V1",1
"43","ID-B11","Rory",2,0.105,5,0.1125,1,"Y1","Y1-V1",1
"44","ID-B13","Ruger",2,0.066,3,0.0625,3,"Y1","Y1-V1",1
"45","ID-B13","Ruger",2,0.071,3,0.0625,2,"Y1","Y1-V1",1
"46","ID-B13","Ruger",2,0.028,2,0.0375,1,"Y1","Y1-V1",1
"47","ID-B13","Ruger",2,0.055,3,0.0625,1,"Y1","Y1-V1",1
"48","ID-B15","Eoin",1,0.125,5,0.1125,1,"Y1","Y1-V1",1
"49","ID-B15","Eoin",1,0.12,5,0.1125,1,"Y1","Y1-V1",1
"50","ID-B19","Rory",2,0.11,5,0.1125,2,"Y1","Y1-V1",2
"51","ID-B21","Keramie",1,0.018,1,0.0125,3,"Y1","Y1-V1",1
"52","ID-B21","Keramie",1,0.053,3,0.0625,3,"Y1","Y1-V1",1
"53","ID-B21","Keramie",1,0.078,4,0.0875,3,"Y1","Y1-V1",1
"54","ID-B21","Keramie",1,0.107,5,0.1125,2,"Y1","Y1-V1",1
"55","ID-B21","Keramie",1,0.094,4,0.0875,1,"Y1","Y1-V1",1
"56","ID-B21","Keramie",1,0.079,4,0.0875,1,"Y1","Y1-V1",1
"57","ID-B21","Keramie",1,0.056,3,0.0625,1,"Y1","Y1-V1",1
"58","ID-B21","Keramie",1,0.079,4,0.0875,2,"Y1","Y1-V1",1
"59","ID-B21","Keramie",1,0.056,3,0.0625,1,"Y1","Y1-V1",1
"60","ID-B21","Keramie",1,0.096,4,0.0875,3,"Y1","Y1-V1",1
"61","ID-B21","Keramie",1,0.096,4,0.0875,3,"Y1","Y1-V1",1
"62","ID-B21","Keramie",1,0.096,4,0.0875,3,"Y1","Y1-V1",1
"63","ID-B21","Keramie",1,0.027,2,0.0375,1,"Y1","Y1-V1",1
"64","ID-B21","Keramie",1,0.044,2,0.0375,1,"Y1","Y1-V1",1
"65","ID-B21","Keramie",1,0.07,3,0.0625,3,"Y1","Y1-V1",1
"66","ID-B21","Keramie",1,0.022,1,0.0125,1,"Y1","Y1-V1",1
"67","ID-B21","Keramie",1,0.062,3,0.0625,2,"Y1","Y1-V1",1
"68","ID-B22","Rory",2,0.089,4,0.0875,1,"Y1","Y1-V1",1
"69","ID-B22","Rory",2,0.042,2,0.0375,1,"Y1","Y1-V1",1
"70","ID-B22","Rory",2,0.068,3,0.0625,2,"Y1","Y1-V1",1
"71","ID-B22","Rory",2,0.091,4,0.0875,3,"Y1","Y1-V1",1
"72","ID-B22","Rory",2,0.04,2,0.0375,1,"Y1","Y1-V1",1
"73","ID-B22","Rory",2,0.051,3,0.0625,1,"Y1","Y1-V1",1
"74","ID-B22","Rory",2,0.071,3,0.0625,1,"Y1","Y1-V1",1
"75","ID-B22","Rory",2,0.086,4,0.0875,1,"Y1","Y1-V1",1
"76","ID-B22","Rory",2,0.072,3,0.0625,3,"Y1","Y1-V1",1
"77","ID-B22","Rory",2,0.072,3,0.0625,3,"Y1","Y1-V1",1
"78","ID-B22","Rory",2,0.072,3,0.0625,3,"Y1","Y1-V1",1
"79","ID-B22","Rory",2,0.072,3,0.0625,3,"Y1","Y1-V1",1
"80","ID-B22","Rory",2,0.103,5,0.1125,3,"Y1","Y1-V1",1
"81","ID-B22","Rory",2,0.06,3,0.0625,1,"Y1","Y1-V1",1
"82","ID-B22","Rory",2,0.021,1,0.0125,1,"Y1","Y1-V1",1
"83","ID-B22","Rory",2,0.018,1,0.0125,1,"Y1","Y1-V1",1
"84","ID-B22","Rory",2,0.09,4,0.0875,1,"Y1","Y1-V1",1
"85","ID-B22","Rory",2,0.075,3,0.0625,2,"Y1","Y1-V1",1
"86","ID-B22","Rory",2,0.051,3,0.0625,1,"Y1","Y1-V1",1
"87","ID-B22","Rory",2,0.071,3,0.0625,1,"Y1","Y1-V1",1
"88","ID-B22","Rory",2,0.082,4,0.0875,1,"Y1","Y1-V1",1
"89","ID-B22","Rory",2,0.053,3,0.0625,1,"Y1","Y1-V1",1
"90","ID-B22","Rory",2,0.079,4,0.0875,1,"Y1","Y1-V1",1
"91","ID-B22","Rory",2,0.068,3,0.0625,1,"Y1","Y1-V1",1
"92","ID-B22","Rory",2,0.087,4,0.0875,2,"Y1","Y1-V1",1
"93","ID-B22","Rory",2,0.104,5,0.1125,1,"Y1","Y1-V1",1
"94","ID-B22","Rory",2,0.07,3,0.0625,2,"Y1","Y1-V1",1
"95","ID-B22","Rory",2,0.077,4,0.0875,1,"Y1","Y1-V1",1
"96","ID-B22","Rory",2,0.083,4,0.0875,1,"Y1","Y1-V1",1
"97","ID-B22","Rory",2,0.105,5,0.1125,1,"Y1","Y1-V1",1
"98","ID-B22","Rory",2,0.078,4,0.0875,2,"Y1","Y1-V1",1
"99","ID-B22","Rory",2,0.055,3,0.0625,2,"Y1","Y1-V1",1
"100","ID-B22","Rory",2,0.055,3,0.0625,2,"Y1","Y1-V1",1
"101","ID-B22","Rory",2,0.059,3,0.0625,2,"Y1","Y1-V1",1
"102","ID-B22","Rory",2,0.046,2,0.0375,1,"Y1","Y1-V1",1
"103","ID-B22","Rory",2,0.057,3,0.0625,2,"Y1","Y1-V1",1
"104","ID-B23","Rory",2,0.125,5,0.1125,1,"Y1","Y1-V1",1
"105","ID-B23","Rory",2,0.043,2,0.0375,1,"Y1","Y1-V1",1
"106","ID-B23","Rory",2,0.055,3,0.0625,2,"Y1","Y1-V1",1
"107","ID-B24","Keramie",1,0.062,3,0.0625,1,"Y1","Y1-V1",1
"108","ID-B24","Keramie",1,0.034,2,0.0375,1,"Y1","Y1-V1",1
"109","ID-B24","Keramie",1,0.033,2,0.0375,1,"Y1","Y1-V1",1
"110","ID-B24","Keramie",1,0.033,2,0.0375,1,"Y1","Y1-V1",1
"111","ID-B24","Keramie",1,0.033,2,0.0375,1,"Y1","Y1-V1",1
"112","ID-B24","Keramie",1,0.033,2,0.0375,1,"Y1","Y1-V1",1
"113","ID-B24","Keramie",1,0.091,4,0.0875,3,"Y1","Y1-V1",1
"114","ID-B24","Keramie",1,0.07,3,0.0625,1,"Y1","Y1-V1",1
"115","ID-B24","Keramie",1,0.059,3,0.0625,3,"Y1","Y1-V1",1
"116","ID-B24","Keramie",1,0.057,3,0.0625,3,"Y1","Y1-V1",1
"117","ID-B24","Keramie",1,0.028,2,0.0375,3,"Y1","Y1-V1",1
"118","ID-B24","Keramie",1,0.03,2,0.0375,1,"Y1","Y1-V1",1
"119","ID-B24","Keramie",1,0.028,2,0.0375,1,"Y1","Y1-V1",1
"120","ID-B24","Keramie",1,0.032,2,0.0375,1,"Y1","Y1-V1",1
"121","ID-B24","Keramie",1,0.032,2,0.0375,1,"Y1","Y1-V1",1
"122","ID-B24","Keramie",1,0.032,2,0.0375,1,"Y1","Y1-V1",1
"123","ID-B24","Keramie",1,0.032,2,0.0375,1,"Y1","Y1-V1",1
"124","ID-B24","Keramie",1,0.02,1,0.0125,1,"Y1","Y1-V1",1
"125","ID-B24","Keramie",1,0.024,1,0.0125,2,"Y1","Y1-V1",1
"126","ID-B24","Keramie",1,0.024,1,0.0125,2,"Y1","Y1-V1",1
"127","ID-B24","Keramie",1,0.024,1,0.0125,2,"Y1","Y1-V1",1
"128","ID-B24","Keramie",1,0.024,1,0.0125,2,"Y1","Y1-V1",1
"129","ID-B24","Keramie",1,0.055,3,0.0625,1,"Y1","Y1-V1",1
"130","ID-B24","Keramie",1,0.102,5,0.1125,1,"Y1","Y1-V1",1
"131","ID-B24","Keramie",1,0.058,3,0.0625,3,"Y1","Y1-V1",1
"132","ID-B24","Keramie",1,0.052,3,0.0625,2,"Y1","Y1-V1",1
"133","ID-B24","Keramie",1,0.045,2,0.0375,2,"Y1","Y1-V1",1
"134","ID-B24","Keramie",1,0.097,4,0.0875,2,"Y1","Y1-V1",1
"135","ID-B24","Keramie",1,0.086,4,0.0875,2,"Y1","Y1-V1",1
"136","ID-B24","Keramie",1,0.066,3,0.0625,1,"Y1","Y1-V1",1
"137","ID-B24","Keramie",1,0.048,2,0.0375,1,"Y1","Y1-V1",1
"138","ID-B24","Keramie",1,0.062,3,0.0625,2,"Y1","Y1-V1",1
"139","ID-B24","Keramie",1,0.032,2,0.0375,1,"Y1","Y1-V1",1
"140","ID-B24","Keramie",1,0.094,4,0.0875,1,"Y1","Y1-V1",1
"141","ID-B24","Keramie",1,0.041,2,0.0375,1,"Y1","Y1-V1",1
"142","ID-B24","Keramie",1,0.077,4,0.0875,3,"Y1","Y1-V1",1
"143","ID-B24","Keramie",1,0.077,4,0.0875,3,"Y1","Y1-V1",1
"144","ID-B24","Keramie",1,0.018,1,0.0125,3,"Y1","Y1-V1",1
"145","ID-B26","Keramie",1,0.082,4,0.0875,2,"Y1","Y1-V1",1
"146","ID-B26","Keramie",1,0.095,4,0.0875,3,"Y1","Y1-V1",1
"147","ID-C04","Austin",1,0.056,3,0.0625,1,"Y1","Y1-V1",1
"148","ID-C04","Austin",1,0.069,3,0.0625,2,"Y1","Y1-V1",1
"149","ID-C04","Austin",1,0.096,4,0.0875,1,"Y1","Y1-V1",1
"150","ID-C04","Austin",1,0.088,4,0.0875,2,"Y1","Y1-V1",1
"151","ID-C04","Austin",1,0.09,4,0.0875,1,"Y1","Y1-V1",1
"152","ID-C04","Austin",1,0.086,4,0.0875,1,"Y1","Y1-V1",1
"153","ID-C04","Austin",1,0.081,4,0.0875,1,"Y1","Y1-V1",1
"154","ID-C04","Austin",1,0.05,2,0.0375,1,"Y1","Y1-V1",1
"155","ID-C04","Austin",1,0.087,4,0.0875,2,"Y1","Y1-V1",1
"156","ID-C04","Austin",1,0.079,4,0.0875,1,"Y1","Y1-V1",1
"157","ID-C04","Austin",1,0.079,4,0.0875,1,"Y1","Y1-V1",1
"158","ID-C04","Austin",1,0.059,3,0.0625,2,"Y1","Y1-V1",1
"159","ID-C04","Austin",1,0.083,4,0.0875,1,"Y1","Y1-V1",1
"160","ID-C04","Austin",1,0.079,4,0.0875,2,"Y1","Y1-V1",1
"161","ID-C04","Austin",1,0.024,1,0.0125,1,"Y1","Y1-V1",1
"162","ID-C04","Austin",1,0.076,4,0.0875,2,"Y1","Y1-V1",1
"163","ID-C04","Austin",1,0.061,3,0.0625,1,"Y1","Y1-V1",1
"164","ID-C04","Austin",1,0.109,5,0.1125,1,"Y1","Y1-V1",1
"165","ID-C04","Austin",1,0.117,5,0.1125,2,"Y1","Y1-V1",1
"166","ID-C04","Austin",1,0.073,3,0.0625,2,"Y1","Y1-V1",1
"167","ID-C07","Keramie",1,0.073,3,0.0625,2,"Y1","Y1-V1",1
"168","ID-C07","Keramie",1,0.073,3,0.0625,2,"Y1","Y1-V1",1
"169","ID-C21","Ruger",2,0.057,3,0.0625,1,"Y1","Y1-V1",1
"170","ID-C21","Ruger",2,0.062,3,0.0625,1,"Y1","Y1-V1",1
"171","ID-C21","Ruger",2,0.071,3,0.0625,1,"Y1","Y1-V1",1
"172","ID-C21","Ruger",2,0.045,2,0.0375,1,"Y1","Y1-V1",1
"173","ID-C21","Ruger",2,0.06,3,0.0625,1,"Y1","Y1-V1",1
"174","ID-C21","Ruger",2,0.09,4,0.0875,2,"Y1","Y1-V1",1
"175","ID-C21","Ruger",2,0.047,2,0.0375,3,"Y1","Y1-V1",1
"176","ID-C21","Ruger",2,0.065,3,0.0625,2,"Y1","Y1-V1",1
"177","ID-C21","Ruger",2,0.077,4,0.0875,2,"Y1","Y1-V1",1
"178","ID-C21","Ruger",2,0.064,3,0.0625,1,"Y1","Y1-V1",1
"179","ID-C21","Ruger",2,0.052,3,0.0625,2,"Y1","Y1-V1",1
"180","ID-C21","Ruger",2,0.043,2,0.0375,2,"Y1","Y1-V1",1
"181","ID-C21","Ruger",2,0.05,2,0.0375,2,"Y1","Y1-V1",1
"182","ID-C21","Ruger",2,0.061,3,0.0625,3,"Y1","Y1-V1",1
"183","ID-C21","Ruger",2,0.033,2,0.0375,1,"Y1","Y1-V1",1
"184","ID-C21","Ruger",2,0.028,2,0.0375,2,"Y1","Y1-V1",1
"185","ID-C21","Ruger",2,0.09,4,0.0875,3,"Y1","Y1-V1",1
"186","ID-C21","Ruger",2,0.038,2,0.0375,3,"Y1","Y1-V1",1
"187","ID-C21","Ruger",2,0.02,1,0.0125,1,"Y1","Y1-V1",1
"188","ID-C21","Ruger",2,0.024,1,0.0125,1,"Y1","Y1-V1",1
"189","ID-C21","Ruger",2,0.05,2,0.0375,1,"Y1","Y1-V1",1
"190","ID-C21","Ruger",2,0.034,2,0.0375,2,"Y1","Y1-V1",1
"191","ID-C21","Ruger",2,0.045,2,0.0375,3,"Y1","Y1-V1",1
"192","ID-C21","Ruger",2,0.089,4,0.0875,2,"Y1","Y1-V1",1
"193","ID-C21","Ruger",2,0.078,4,0.0875,3,"Y1","Y1-V1",1
"194","ID-C24","Eoin",1,0.045,2,0.0375,1,"Y1","Y1-V1",1
"195","ID-C26","Keramie",1,0.055,3,0.0625,1,"Y1","Y1-V1",1
"196","ID-C26","Keramie",1,0.045,2,0.0375,2,"Y1","Y1-V1",1
"197","ID-C26","Keramie",1,0.104,5,0.1125,1,"Y1","Y1-V1",1
"198","ID-C26","Keramie",1,0.085,4,0.0875,2,"Y1","Y1-V1",1
"199","ID-C26","Keramie",1,0.047,2,0.0375,1,"Y1","Y1-V1",1
"200","ID-C26","Keramie",1,0.078,4,0.0875,2,"Y1","Y1-V1",1
"201","ID-C26","Keramie",1,0.035,2,0.0375,1,"Y1","Y1-V1",1
"202","ID-C26","Keramie",1,0.045,2,0.0375,1,"Y1","Y1-V1",1
"203","ID-C26","Keramie",1,0.085,4,0.0875,2,"Y1","Y1-V1",1
"204","ID-C26","Keramie",1,0.07,3,0.0625,1,"Y1","Y1-V1",1
"205","ID-C26","Keramie",1,0.056,3,0.0625,1,"Y1","Y1-V1",1
"206","ID-C26","Keramie",1,0.056,3,0.0625,1,"Y1","Y1-V1",1
"207","ID-C26","Keramie",1,0.035,2,0.0375,1,"Y1","Y1-V1",1
"208","ID-C26","Keramie",1,0.094,4,0.0875,3,"Y1","Y1-V1",1
"209","ID-C26","Keramie",1,0.085,4,0.0875,1,"Y1","Y1-V1",1
"210","ID-C26","Keramie",1,0.067,3,0.0625,2,"Y1","Y1-V1",1
"211","ID-C26","Keramie",1,0.048,2,0.0375,2,"Y1","Y1-V1",1
"212","ID-C26","Keramie",1,0.05,2,0.0375,2,"Y1","Y1-V1",1
"213","ID-C26","Keramie",1,0.048,2,0.0375,3,"Y1","Y1-V1",1
"214","ID-C26","Keramie",1,0.09,4,0.0875,2,"Y1","Y1-V1",1
"215","ID-C26","Keramie",1,0.105,5,0.1125,2,"Y1","Y1-V1",1
"216","ID-C26","Keramie",1,0.075,3,0.0625,3,"Y1","Y1-V1",1
"217","ID-C26","Keramie",1,0.096,4,0.0875,1,"Y1","Y1-V1",1
"218","UT-B02","Austin",1,0.075,3,0.0625,1,"Y1","Y1-V1",1
"219","UT-B02","Austin",1,0.041,2,0.0375,1,"Y1","Y1-V1",1
"220","UT-B02","Austin",1,0.048,2,0.0375,1,"Y1","Y1-V1",1
"221","UT-B02","Austin",1,0.031,2,0.0375,1,"Y1","Y1-V1",1
"222","UT-B02","Austin",1,0.057,3,0.0625,2,"Y1","Y1-V1",1
"223","UT-B02","Austin",1,0.046,2,0.0375,1,"Y1","Y1-V1",1
"224","UT-B02","Austin",1,0.039,2,0.0375,1,"Y1","Y1-V1",1
"225","UT-B02","Austin",1,0.036,2,0.0375,2,"Y1","Y1-V1",1
"226","UT-B02","Austin",1,0.067,3,0.0625,1,"Y1","Y1-V1",1
"227","UT-B02","Austin",1,0.031,2,0.0375,1,"Y1","Y1-V1",1
"228","UT-B02","Austin",1,0.033,2,0.0375,2,"Y1","Y1-V1",1
"229","UT-B02","Austin",1,0.049,2,0.0375,2,"Y1","Y1-V1",1
"230","UT-B02","Austin",1,0.049,2,0.0375,2,"Y1","Y1-V1",1
"231","UT-B02","Austin",1,0.047,2,0.0375,1,"Y1","Y1-V1",1
"232","UT-B02","Austin",1,0.023,1,0.0125,1,"Y1","Y1-V1",1
"233","UT-B02","Austin",1,0.035,2,0.0375,1,"Y1","Y1-V1",1
"234","UT-B02","Austin",1,0.037,2,0.0375,1,"Y1","Y1-V1",1
"235","UT-B02","Austin",1,0.027,2,0.0375,3,"Y1","Y1-V1",1
"236","UT-B02","Austin",1,0.089,4,0.0875,3,"Y1","Y1-V1",1
"237","UT-B02","Austin",1,0.059,3,0.0625,1,"Y1","Y1-V1",1
"238","UT-B02","Austin",1,0.095,4,0.0875,1,"Y1","Y1-V1",1
"239","UT-B02","Austin",1,0.095,4,0.0875,1,"Y1","Y1-V1",1
"240","UT-B02","Austin",1,0.095,4,0.0875,1,"Y1","Y1-V1",1
"241","UT-B02","Austin",1,0.095,4,0.0875,1,"Y1","Y1-V1",1
"242","UT-B02","Austin",1,0.095,4,0.0875,1,"Y1","Y1-V1",1
"243","UT-B02","Austin",1,0.095,4,0.0875,1,"Y1","Y1-V1",1
"244","UT-B02","Austin",1,0.055,3,0.0625,1,"Y1","Y1-V1",1
"245","UT-B02","Austin",1,0.057,3,0.0625,1,"Y1","Y1-V1",1
"246","UT-B02","Austin",1,0.063,3,0.0625,2,"Y1","Y1-V1",1
"247","UT-B02","Austin",1,0.056,3,0.0625,3,"Y1","Y1-V1",1
"248","UT-B02","Austin",1,0.085,4,0.0875,1,"Y1","Y1-V1",1
"249","UT-B02","Austin",1,0.063,3,0.0625,2,"Y1","Y1-V1",1
"250","UT-B02","Austin",1,0.05,2,0.0375,3,"Y1","Y1-V1",1
"251","UT-B02","Austin",1,0.103,5,0.1125,1,"Y1","Y1-V1",1
"252","UT-B02","Austin",1,0.046,2,0.0375,1,"Y1","Y1-V1",1
"253","UT-B05","Eliza",1,0.1,4,0.0875,1,"Y1","Y1-V1",1
"254","UT-B05","Eliza",1,0.08,4,0.0875,1,"Y1","Y1-V1",1
"255","UT-B05","Eliza",1,0.06,3,0.0625,1,"Y1","Y1-V1",1
"256","UT-B05","Eliza",1,0.1,4,0.0875,1,"Y1","Y1-V1",1
"257","UT-B05","Eliza",1,0.06,3,0.0625,1,"Y1","Y1-V1",1
"258","UT-B05","Eliza",1,0.07,3,0.0625,2,"Y1","Y1-V1",1
"259","UT-B05","Eliza",1,0.03,2,0.0375,2,"Y1","Y1-V1",1
"260","UT-B05","Eliza",1,0.043,2,0.0375,1,"Y1","Y1-V1",1
"261","UT-B05","Eliza",1,0.1,4,0.0875,2,"Y1","Y1-V1",1
"262","UT-B05","Eliza",1,0.06,3,0.0625,2,"Y1","Y1-V1",1
"263","UT-B05","Eliza",1,0.07,3,0.0625,2,"Y1","Y1-V1",1
"264","UT-B05","Eliza",1,0.09,4,0.0875,2,"Y1","Y1-V1",1
"265","UT-B05","Eliza",1,0.03,2,0.0375,1,"Y1","Y1-V1",1
"266","UT-B05","Eliza",1,0.06,3,0.0625,1,"Y1","Y1-V1",1
"267","UT-B05","Eliza",1,0.04,2,0.0375,2,"Y1","Y1-V1",1
"268","UT-B05","Eliza",1,0.03,2,0.0375,1,"Y1","Y1-V1",1
"269","UT-B05","Eliza",1,0.03,2,0.0375,1,"Y1","Y1-V1",1
"270","UT-B05","Eliza",1,0.05,2,0.0375,1,"Y1","Y1-V1",1
"271","UT-B06","Austin",1,0.017,1,0.0125,1,"Y1","Y1-V1",1
"272","UT-B06","Austin",1,0.091,4,0.0875,1,"Y1","Y1-V1",1
"273","UT-B06","Austin",1,0.078,4,0.0875,1,"Y1","Y1-V1",1
"274","UT-B06","Austin",1,0.072,3,0.0625,1,"Y1","Y1-V1",1
"275","UT-B06","Austin",1,0.115,5,0.1125,2,"Y1","Y1-V1",1
"276","UT-B06","Austin",1,0.094,4,0.0875,1,"Y1","Y1-V1",1
"277","UT-B06","Austin",1,0.055,3,0.0625,1,"Y1","Y1-V1",1
"278","UT-B06","Austin",1,0.059,3,0.0625,1,"Y1","Y1-V1",1
"279","UT-B06","Austin",1,0.085,4,0.0875,1,"Y1","Y1-V1",1
"280","UT-B06","Austin",1,0.112,5,0.1125,2,"Y1","Y1-V1",1
"281","UT-B06","Austin",1,0.016,1,0.0125,1,"Y1","Y1-V1",1
"282","UT-B06","Austin",1,0.018,1,0.0125,1,"Y1","Y1-V1",1
"283","UT-B06","Austin",1,0.018,1,0.0125,1,"Y1","Y1-V1",1
"284","UT-B06","Austin",1,0.018,1,0.0125,1,"Y1","Y1-V1",1
"285","UT-B06","Austin",1,0.072,3,0.0625,2,"Y1","Y1-V1",1
"286","UT-B06","Austin",1,0.083,4,0.0875,1,"Y1","Y1-V1",1
"287","UT-B06","Austin",1,0.017,1,0.0125,2,"Y1","Y1-V1",1
