"","Grid.ID","Observer.ID","Observer.Experience","Distance","Dist.Bin","Dist.Bin.Midpoint","Time.Interval","Year","Visit.ID","n.Observers"
"1","ID-B24","Keramie",1,0.036,2,0.0375,3,"Y1","Y1-V1",1
"2","ID-B28","Austin",1,0.007,1,0.0125,2,"Y1","Y1-V1",1
"3","ID-C03","Eoin",1,0.08,4,0.0875,3,"Y1","Y1-V1",1
"4","UT-B16","Rory",2,0.039,2,0.0375,2,"Y1","Y1-V1",1
"5","UT-C02","Ruger",2,0.077,4,0.0875,1,"Y1","Y1-V1",1
"6","UT-C05","Eoin",1,0.06,3,0.0625,1,"Y1","Y1-V1",1
"7","UT-C05","Eoin",1,0.045,2,0.0375,1,"Y1","Y1-V1",1
"8","UT-C05","Eoin",1,0.055,3,0.0625,1,"Y1","Y1-V1",1
"9","UT-C05","Eoin",1,0.06,3,0.0625,1,"Y1","Y1-V1",1
"10","UT-C05","Eoin",1,0.045,2,0.0375,1,"Y1","Y1-V1",1
"11","UT-C05","Eoin",1,0.04,2,0.0375,2,"Y1","Y1-V1",1
"12","UT-C05","Eoin",1,0.05,2,0.0375,2,"Y1","Y1-V1",1
"13","UT-C05","Eoin",1,0.06,3,0.0625,2,"Y1","Y1-V1",1
"14","UT-C05","Eoin",1,0.065,3,0.0625,3,"Y1","Y1-V1",1
"15","UT-C05","Eoin",1,0.055,3,0.0625,3,"Y1","Y1-V1",1
"16","UT-C05","Eoin",1,0.07,3,0.0625,1,"Y1","Y1-V1",1
"17","UT-C05","Eoin",1,0.06,3,0.0625,2,"Y1","Y1-V1",1
"18","UT-C05","Eoin",1,0.045,2,0.0375,1,"Y1","Y1-V1",1
"19","UT-C05","Eoin",1,0.05,2,0.0375,1,"Y1","Y1-V1",1
"20","UT-C19","Ruger",2,0.071,3,0.0625,1,"Y1","Y1-V1",1
"21","UT-C30","Keramie",1,0.037,2,0.0375,3,"Y1","Y1-V1",1
"22","ID-B07","Keramie",1,0.047,2,0.0375,1,"Y1","Y1-V2",1
"23","ID-C12","Austin",1,0.015,1,0.0125,2,"Y1","Y1-V2",1
"24","ID-C13","Keramie",1,0.109,5,0.1125,1,"Y1","Y1-V2",1
"25","ID-C13","Keramie",1,0.09,4,0.0875,2,"Y1","Y1-V2",1
"26","ID-C13","Keramie",1,0.091,4,0.0875,3,"Y1","Y1-V2",1
"27","ID-C13","Keramie",1,0.09,4,0.0875,1,"Y1","Y1-V2",1
"28","ID-C13","Keramie",1,0.058,3,0.0625,2,"Y1","Y1-V2",1
"29","ID-C13","Keramie",1,0.073,3,0.0625,3,"Y1","Y1-V2",1
"30","ID-C13","Keramie",1,0.123,5,0.1125,1,"Y1","Y1-V2",1
"31","ID-C21","Keramie",1,0.021,1,0.0125,2,"Y1","Y1-V2",1
"32","ID-C21","Keramie",1,0.024,1,0.0125,2,"Y1","Y1-V2",1
"33","ID-C21","Keramie",1,0.091,4,0.0875,3,"Y1","Y1-V2",1
"34","ID-C21","Keramie",1,0.029,2,0.0375,3,"Y1","Y1-V2",1
