"","Grid.ID","Observer.ID","Observer.Experience","Distance","Dist.Bin","Dist.Bin.Midpoint","Time.Interval","Year","Visit.ID","n.Observers"
"1","ID-B04","Ruger",2,0.094,4,0.0875,2,"Y1","Y1-V1",1
"2","ID-B04","Ruger",2,0.071,3,0.0625,1,"Y1","Y1-V1",1
"3","ID-B04","Ruger",2,0.038,2,0.0375,1,"Y1","Y1-V1",1
"4","ID-B04","Ruger",2,0.099,4,0.0875,1,"Y1","Y1-V1",1
"5","ID-B04","Ruger",2,0.12,5,0.1125,2,"Y1","Y1-V1",1
"6","ID-B04","Ruger",2,0.095,4,0.0875,2,"Y1","Y1-V1",1
"7","ID-B04","Ruger",2,0.123,5,0.1125,2,"Y1","Y1-V1",1
"8","ID-B04","Ruger",2,0.095,4,0.0875,3,"Y1","Y1-V1",1
"9","ID-B04","Ruger",2,0.067,3,0.0625,1,"Y1","Y1-V1",1
"10","ID-B04","Ruger",2,0.051,3,0.0625,1,"Y1","Y1-V1",1
"11","ID-B07","Eliza",1,0.065,3,0.0625,1,"Y1","Y1-V1",1
"12","ID-B07","Eliza",1,0.075,3,0.0625,1,"Y1","Y1-V1",1
"13","ID-B07","Eliza",1,0.08,4,0.0875,1,"Y1","Y1-V1",1
"14","ID-B07","Eliza",1,0.125,5,0.1125,1,"Y1","Y1-V1",1
"15","ID-B07","Eliza",1,0.07,3,0.0625,3,"Y1","Y1-V1",1
"16","ID-B07","Eliza",1,0.022,1,0.0125,1,"Y1","Y1-V1",1
"17","ID-B07","Eliza",1,0.023,1,0.0125,1,"Y1","Y1-V1",1
"18","ID-B07","Eliza",1,0.075,3,0.0625,1,"Y1","Y1-V1",1
"19","ID-B07","Eliza",1,0.017,1,0.0125,1,"Y1","Y1-V1",1
"20","ID-B07","Eliza",1,0.055,3,0.0625,1,"Y1","Y1-V1",1
"21","ID-B07","Eliza",1,0.019,1,0.0125,1,"Y1","Y1-V1",1
"22","ID-B07","Eliza",1,0.065,3,0.0625,1,"Y1","Y1-V1",1
"23","ID-B07","Eliza",1,0.07,3,0.0625,3,"Y1","Y1-V1",1
"24","ID-B09","Austin",1,0.036,2,0.0375,1,"Y1","Y1-V1",1
"25","ID-B09","Austin",1,0.041,2,0.0375,1,"Y1","Y1-V1",1
