"","Grid.ID","Grid.Type","Visit.ID","Ord.Date","Year","Observer.ID","Mean.MAS","n.Points","Count","n.Observers","Observer.Year","Observer.Experience","Imputed","Total.Indv"
"1","ID-B03","R","Y1-V1",171,"Y1","Austin",157.6875,16,17,1,"Austin Y1",1,FALSE,42
"2","ID-B03","R","Y1-V2",181,"Y1","Ruger",154,16,26,1,"Ruger Y1",2,FALSE,47
"3","ID-B03","R","Y2-V1",149,"Y2","Thea",185.3125,16,51,1,"Thea Y2",2,FALSE,56
"4","ID-B03","R","Y2-V2",165,"Y2","Devin",146.5625,16,16,1,"Devin Y2",1,FALSE,75
"5","ID-B03","R","Y3-V1",141,"Y3","Thomas",115.4375,16,49,1,"Thomas Y3",1,FALSE,40
"6","ID-B03","R","Y3-V2",158,"Y3","Ben",103.1875,16,63,1,"Ben Y3",1,FALSE,113
"7","ID-B04","B","Y1-V1",178,"Y1","Ruger",152.375,16,11,1,"Ruger Y1",2,FALSE,62
"8","ID-B04","B","Y1-V2",190,"Y1","Rory",167.8125,16,18,1,"Rory Y1",2,FALSE,103
"9","ID-B04","B","Y2-V1",158,"Y2","Thea",173.1875,16,28,1,"Thea Y2",2,FALSE,106
"10","ID-B04","B","Y2-V2",171,"Y2","Thea",164.6875,16,29,1,"Thea Y2",2,FALSE,53
"11","ID-B04","B","Y3-V1",143,"Y3","Ben",103.6875,16,69,1,"Ben Y3",1,FALSE,149
"12","ID-B04","B","Y3-V2",155,"Y3","Ben",111.375,16,72,1,"Ben Y3",1,FALSE,176
"13","ID-B07","B","Y1-V1",171,"Y1","Eliza",217.9375,16,38,1,"Eliza Y1",1,FALSE,25
"14","ID-B07","B","Y1-V2",177,"Y1","Keramie",184.1875,16,27,1,"Keramie Y1",1,FALSE,31
"15","ID-B07","B","Y2-V1",156,"Y2","Keramie",195.25,8,11,1,"Keramie Y2",1,FALSE,23
"16","ID-B07","B","Y2-V2",165,"Y2","Will",80.4375,16,26,1,"Will Y2",2,FALSE,68
"17","ID-B07","B","Y3-V1",140,"Y3","Ben",150.6875,16,56,1,"Ben Y3",1,FALSE,74
"18","ID-B07","B","Y3-V2",154,"Y3","Aidan",123.5,16,49,1,"Aidan Y3",1,FALSE,81
"19","ID-B09","B","Y1-V1",163,"Y1","Austin",171.125,16,7,1,"Austin Y1",1,FALSE,53
"20","ID-B09","B","Y1-V2",170,"Y1","Ruger",227.25,16,2,1,"Ruger Y1",2,FALSE,66
"21","ID-B09","B","Y2-V1",151,"Y2","Keramie",218.3125,16,5,1,"Keramie Y2",1,FALSE,54
"22","ID-B09","B","Y2-V2",173,"Y2","Will",81.8888888888889,9,5,1,"Will Y2",2,FALSE,85
"23","ID-B09","B","Y3-V1",142,"Y3","Holden",86.5,16,23,2,"Holden Y3",1,FALSE,99
"24","ID-B09","B","Y3-V2",165,"Y3","Aidan",133.1875,16,19,1,"Aidan Y3",1,FALSE,95
"25","ID-B11","B","Y1-V1",177,"Y1","Rory",191.125,16,15,1,"Rory Y1",2,FALSE,68
"26","ID-B11","B","Y1-V2",198,"Y1","Rory",120.625,8,6,1,"Rory Y1",2,FALSE,70
"27","ID-B11","B","Y2-V1",135,"Y2","Will",144.875,16,27,1,"Will Y2",2,FALSE,76
"28","ID-B11","B","Y2-V2",156,"Y2","Andrew",166.5,16,23,1,"Andrew Y2",1,FALSE,15
"29","ID-B11","B","Y3-V1",140,"Y3","Emily",130,8,30,1,"Emily Y3",1,FALSE,43
"30","ID-B11","B","Y3-V2",154,"Y3","Holden",150.625,16,40,1,"Holden Y3",1,FALSE,19
"31","ID-B12","B","Y1-V1",173,"Y1","Eliza",286.8,5,0,1,"Eliza Y1",1,FALSE,16
"32","ID-B12","B","Y1-V2",191,"Y1","Eoin",157.4375,16,0,1,"Eoin Y1",1,FALSE,34
"33","ID-B12","B","Y2-V1",151,"Y2","Andrew",136.4,15,4,1,"Andrew Y2",1,FALSE,76
"34","ID-B12","B","Y2-V2",162,"Y2","Will",117.9375,16,2,1,"Will Y2",2,FALSE,104
"35","ID-B12","B","Y3-V1",136,"Y3","Emily",137.5625,16,22,1,"Emily Y3",1,FALSE,61
"36","ID-B12","B","Y3-V2",156,"Y3","Ben",132.875,16,29,1,"Ben Y3",1,FALSE,111
"37","ID-B13","B","Y1-V1",180,"Y1","Ruger",158,16,0,1,"Ruger Y1",2,FALSE,79
"38","ID-B13","B","Y1-V2",193,"Y1","Rory",280.083333333333,12,0,1,"Rory Y1",2,FALSE,72
"39","ID-B13","B","Y2-V1",157,"Y2","Rory",129.0625,16,12,1,"Rory Y2",2,FALSE,129
"40","ID-B13","B","Y2-V2",170,"Y2","Trey",136.625,16,9,1,"Trey Y2",2,FALSE,15
"41","ID-B13","B","Y3-V1",150,"Y3","Will",138,16,7,1,"Will Y3",2,FALSE,72
"42","ID-B13","B","Y3-V2",162,"Y3","Rory",145.875,16,10,1,"Rory Y3",2,FALSE,155
"43","ID-B15","B","Y1-V1",173,"Y1","Eoin",160.625,16,8,1,"Eoin Y1",1,FALSE,33
"44","ID-B15","B","Y1-V2",191,"Y1","Ruger",133.0625,16,6,1,"Ruger Y1",2,FALSE,79
"45","ID-B15","B","Y2-V1",151,"Y2","Will",153.3125,16,21,1,"Will Y2",2,FALSE,148
"46","ID-B15","B","Y2-V2",169,"Y2","Keramie",174.3,10,14,1,"Keramie Y2",1,FALSE,57
"47","ID-B15","B","Y3-V1",142,"Y3","Thomas",142,16,25,1,"Thomas Y3",1,FALSE,63
"48","ID-B15","B","Y3-V2",165,"Y3","Holden",120.5,16,21,1,"Holden Y3",1,FALSE,30
"49","ID-B16","B","Y1-V1",172,"Y1","Ruger",187.25,16,8,1,"Ruger Y1",2,FALSE,36
"50","ID-B16","B","Y1-V2",189,"Y1","Rory",201.4375,16,0,1,"Rory Y1",2,FALSE,57
"51","ID-B16","B","Y2-V1",157,"Y2","Andrew",128.125,16,9,1,"Andrew Y2",1,FALSE,29
"52","ID-B16","B","Y2-V2",170,"Y2","Will",120.5,16,12,1,"Will Y2",2,FALSE,27
"53","ID-B16","B","Y3-V1",150,"Y3","Holden",172.066666666667,15,22,1,"Holden Y3",1,FALSE,37
"54","ID-B16","B","Y3-V2",162,"Y3","Ben",168.25,16,35,1,"Ben Y3",1,FALSE,112
"55","ID-B19","B","Y1-V1",172,"Y1","Austin",191.333333333333,15,8,2,"Austin Y1",1,FALSE,53
"56","ID-B19","B","Y1-V2",180,"Y1","Eoin",181.25,16,17,1,"Eoin Y1",1,FALSE,35
"57","ID-B19","B","Y2-V1",157,"Y2","Keramie",199.333333333333,9,4,1,"Keramie Y2",1,FALSE,39
"58","ID-B19","B","Y2-V2",170,"Y2","Andrew",85.4285714285714,14,13,1,"Andrew Y2",1,FALSE,42
"59","ID-B19","B","Y3-V1",150,"Y3","Emily",110.4375,16,35,1,"Emily Y3",1,FALSE,92
"60","ID-B19","B","Y3-V2",162,"Y3","Will",96.8125,16,46,1,"Will Y3",2,FALSE,145
"61","ID-B21","B","Y1-V1",179,"Y1","Keramie",171.25,16,10,1,"Keramie Y1",1,FALSE,32
"62","ID-B21","B","Y1-V2",194,"Y1","Austin",174.4375,16,10,1,"Austin Y1",1,FALSE,21
"63","ID-B21","B","Y2-V1",150,"Y2","Trey",115.625,16,32,1,"Trey Y2",2,FALSE,73
"64","ID-B21","B","Y2-V2",172,"Y2","Keramie",146.142857142857,14,18,1,"Keramie Y2",1,FALSE,73
"65","ID-B21","B","Y3-V1",130,"Y3","Ben",156.125,16,65,1,"Ben Y3",1,FALSE,95
"66","ID-B21","B","Y3-V2",151,"Y3","Rory",186.375,16,33,1,"Rory Y3",2,FALSE,164
"67","ID-B22","B","Y1-V1",178,"Y1","Rory",169.0625,16,15,1,"Rory Y1",2,FALSE,133
"68","ID-B22","B","Y1-V2",188,"Y1","Rory",183.3125,16,30,1,"Rory Y1",2,FALSE,92
"69","ID-B22","B","Y2-V1",147,"Y2","Will",74.75,16,26,1,"Will Y2",2,FALSE,97
"70","ID-B22","B","Y2-V2",171,"Y2","Andrew",64.7,10,11,1,"Andrew Y2",1,FALSE,13
"71","ID-B22","B","Y3-V1",144,"Y3","Will",82.625,16,37,1,"Will Y3",2,FALSE,137
"72","ID-B22","B","Y3-V2",155,"Y3","Rory",131.25,16,27,1,"Rory Y3",2,FALSE,154
"73","ID-B23","B","Y1-V1",179,"Y1","Rory",248.75,16,0,1,"Rory Y1",2,FALSE,97
"74","ID-B23","B","Y1-V2",193,"Y1","Eoin",231.75,16,0,1,"Eoin Y1",1,FALSE,26
"75","ID-B23","B","Y2-V1",158,"Y2","Will",99.3125,16,2,1,"Will Y2",2,FALSE,129
"76","ID-B23","B","Y2-V2",165,"Y2","Anna",122.6875,16,2,1,"Anna Y2",1,FALSE,90
"77","ID-B23","B","Y3-V1",141,"Y3","Ben",164.5,16,16,1,"Ben Y3",1,FALSE,118
"78","ID-B23","B","Y3-V2",158,"Y3","Will",131.4375,16,1,1,"Will Y3",2,FALSE,141
"79","ID-B24","B","Y1-V1",178,"Y1","Keramie",187.1875,16,16,1,"Keramie Y1",1,FALSE,64
"80","ID-B24","B","Y1-V2",194,"Y1","Ruger",175,16,4,1,"Ruger Y1",2,FALSE,53
"81","ID-B24","B","Y2-V1",150,"Y2","Thea",134.9375,16,24,1,"Thea Y2",2,FALSE,115
"82","ID-B24","B","Y2-V2",172,"Y2","Will",133.375,16,8,1,"Will Y2",2,FALSE,142
"83","ID-B24","B","Y3-V1",143,"Y3","Thomas",118.8125,16,44,1,"Thomas Y3",1,FALSE,98
"84","ID-B24","B","Y3-V2",155,"Y3","Will",107.5,16,39,1,"Will Y3",2,FALSE,128
"85","ID-B26","B","Y1-V1",180,"Y1","Keramie",207.75,16,7,1,"Keramie Y1",1,FALSE,32
"86","ID-B26","B","Y1-V2",193,"Y1","Austin",173.0625,16,5,1,"Austin Y1",1,FALSE,31
"87","ID-B26","B","Y2-V1",157,"Y2","Thea",137.090909090909,11,23,1,"Thea Y2",2,FALSE,72
"88","ID-B26","B","Y2-V2",170,"Y2","Devin",160,16,15,1,"Devin Y2",1,FALSE,83
"89","ID-B26","B","Y3-V1",150,"Y3","Aidan",113.0625,16,26,1,"Aidan Y3",1,FALSE,79
"90","ID-B26","B","Y3-V2",162,"Y3","Thomas",96.3125,16,27,1,"Thomas Y3",1,FALSE,98
"91","ID-B28","B","Y1-V1",177,"Y1","Austin",200.4375,16,3,1,"Austin Y1",1,FALSE,42
"92","ID-B28","B","Y1-V2",194,"Y1","Eoin",126.25,16,2,1,"Eoin Y1",1,FALSE,21
"93","ID-B28","B","Y2-V1",148,"Y2","Will",134.0625,16,21,1,"Will Y2",2,FALSE,123
"94","ID-B28","B","Y2-V2",171,"Y2","Keramie",157.875,8,14,1,"Keramie Y2",1,FALSE,42
"95","ID-B28","B","Y3-V1",142,"Y3","Ben",123.5625,16,37,1,"Ben Y3",1,FALSE,86
"96","ID-B28","B","Y3-V2",161,"Y3","Ben",137.75,16,38,1,"Ben Y3",1,FALSE,187
"97","ID-C03","R","Y1-V1",171,"Y1","Eoin",191.125,16,16,1,"Eoin Y1",1,FALSE,17
"98","ID-C03","R","Y1-V2",179,"Y1","Austin",153.5,16,16,1,"Austin Y1",1,FALSE,27
"99","ID-C03","R","Y2-V1",149,"Y2","Devin",190,16,34,1,"Devin Y2",1,FALSE,49
"100","ID-C03","R","Y2-V2",165,"Y2","Trey",131.4375,16,22,1,"Trey Y2",2,FALSE,36
"101","ID-C03","R","Y3-V1",141,"Y3","Emily",141.8125,16,44,1,"Emily Y3",1,FALSE,80
"102","ID-C03","R","Y3-V2",158,"Y3","Holden",128.125,16,33,1,"Holden Y3",1,FALSE,32
"103","ID-C04","R","Y1-V1",178,"Y1","Austin",150.8125,16,2,1,"Austin Y1",1,FALSE,72
"104","ID-C04","R","Y1-V2",192,"Y1","Ruger",133,16,5,1,"Ruger Y1",2,FALSE,78
"105","ID-C04","R","Y2-V1",150,"Y2","Will",120.25,16,23,1,"Will Y2",2,FALSE,125
"106","ID-C04","R","Y2-V2",171,"Y2","Devin",125.75,16,0,1,"Devin Y2",1,FALSE,74
"107","ID-C04","R","Y3-V1",143,"Y3","Emily",104.75,16,42,1,"Emily Y3",1,FALSE,82
"108","ID-C04","R","Y3-V2",155,"Y3","Aidan",88.25,16,35,1,"Aidan Y3",1,FALSE,100
"109","ID-C07","R","Y1-V1",171,"Y1","Keramie",204.125,16,12,1,"Keramie Y1",1,FALSE,40
"110","ID-C07","R","Y1-V2",177,"Y1","Eoin",186,16,3,1,"Eoin Y1",1,FALSE,16
"111","ID-C07","R","Y2-V1",142,"Y2","Rory",138.625,16,32,1,"Rory Y2",2,FALSE,115
"112","ID-C07","R","Y2-V2",156,"Y2","Thea",146.4,10,24,1,"Thea Y2",2,FALSE,59
"113","ID-C07","R","Y3-V1",140,"Y3","Will",125.625,16,40,1,"Will Y3",2,FALSE,84
"114","ID-C07","R","Y3-V2",154,"Y3","Emily",140.1875,16,55,1,"Emily Y3",1,FALSE,92
"115","ID-C09","R","Y1-V1",163,"Y1","Ruger",203.5625,16,19,1,"Ruger Y1",2,FALSE,87
"116","ID-C09","R","Y1-V2",170,"Y1","Eliza",194.8125,16,19,1,"Eliza Y1",1,FALSE,75
"117","ID-C09","R","Y2-V1",169,"Y2","Thea",192.1875,16,5,1,"Thea Y2",2,FALSE,124
