"","Grid.ID","Observer.ID","Observer.Experience","Distance","Dist.Bin","Dist.Bin.Midpoint","Time.Interval","Year","Visit.ID","n.Observers"
"1","ID-B03","Austin",1,0.109,5,0.1125,1,"Y1","Y1-V1",1
"2","ID-B03","Austin",1,0.081,4,0.0875,2,"Y1","Y1-V1",1
"3","ID-B03","Austin",1,0.093,4,0.0875,3,"Y1","Y1-V1",1
"4","ID-B03","Austin",1,0.068,3,0.0625,1,"Y1","Y1-V1",1
"5","ID-B03","Austin",1,0.112,5,0.1125,1,"Y1","Y1-V1",1
"6","ID-B03","Austin",1,0.087,4,0.0875,3,"Y1","Y1-V1",1
"7","ID-B03","Austin",1,0.07,3,0.0625,1,"Y1","Y1-V1",1
"8","ID-B03","Austin",1,0.111,5,0.1125,1,"Y1","Y1-V1",1
"9","ID-B03","Austin",1,0.096,4,0.0875,1,"Y1","Y1-V1",1
"10","ID-B03","Austin",1,0.095,4,0.0875,1,"Y1","Y1-V1",1
"11","ID-B03","Austin",1,0.091,4,0.0875,1,"Y1","Y1-V1",1
"12","ID-B03","Austin",1,0.071,3,0.0625,1,"Y1","Y1-V1",1
"13","ID-B03","Austin",1,0.073,3,0.0625,1,"Y1","Y1-V1",1
"14","ID-B03","Austin",1,0.094,4,0.0875,2,"Y1","Y1-V1",1
"15","ID-B03","Austin",1,0.091,4,0.0875,2,"Y1","Y1-V1",1
"16","ID-B03","Austin",1,0.05,2,0.0375,1,"Y1","Y1-V1",1
"17","ID-B03","Austin",1,0.087,4,0.0875,1,"Y1","Y1-V1",1
"18","ID-B04","Ruger",2,0.075,3,0.0625,1,"Y1","Y1-V1",1
"19","ID-B04","Ruger",2,0.09,4,0.0875,1,"Y1","Y1-V1",1
"20","ID-B04","Ruger",2,0.089,4,0.0875,1,"Y1","Y1-V1",1
"21","ID-B04","Ruger",2,0.11,5,0.1125,2,"Y1","Y1-V1",1
"22","ID-B04","Ruger",2,0.081,4,0.0875,1,"Y1","Y1-V1",1
"23","ID-B04","Ruger",2,0.042,2,0.0375,1,"Y1","Y1-V1",1
"24","ID-B04","Ruger",2,0.094,4,0.0875,1,"Y1","Y1-V1",1
"25","ID-B04","Ruger",2,0.12,5,0.1125,1,"Y1","Y1-V1",1
"26","ID-B04","Ruger",2,0.038,2,0.0375,1,"Y1","Y1-V1",1
"27","ID-B04","Ruger",2,0.11,5,0.1125,1,"Y1","Y1-V1",1
"28","ID-B04","Ruger",2,0.072,3,0.0625,1,"Y1","Y1-V1",1
"29","ID-B07","Eliza",1,0.085,4,0.0875,1,"Y1","Y1-V1",1
"30","ID-B07","Eliza",1,0.1,4,0.0875,2,"Y1","Y1-V1",1
"31","ID-B07","Eliza",1,0.07,3,0.0625,1,"Y1","Y1-V1",1
"32","ID-B07","Eliza",1,0.11,5,0.1125,1,"Y1","Y1-V1",1
"33","ID-B07","Eliza",1,0.05,2,0.0375,3,"Y1","Y1-V1",1
"34","ID-B07","Eliza",1,0.085,4,0.0875,1,"Y1","Y1-V1",1
"35","ID-B07","Eliza",1,0.12,5,0.1125,1,"Y1","Y1-V1",1
"36","ID-B07","Eliza",1,0.1,4,0.0875,1,"Y1","Y1-V1",1
"37","ID-B07","Eliza",1,0.075,3,0.0625,1,"Y1","Y1-V1",1
"38","ID-B07","Eliza",1,0.08,4,0.0875,1,"Y1","Y1-V1",1
"39","ID-B07","Eliza",1,0.07,3,0.0625,1,"Y1","Y1-V1",1
"40","ID-B07","Eliza",1,0.07,3,0.0625,1,"Y1","Y1-V1",1
"41","ID-B07","Eliza",1,0.05,2,0.0375,1,"Y1","Y1-V1",1
"42","ID-B07","Eliza",1,0.09,4,0.0875,2,"Y1","Y1-V1",1
"43","ID-B07","Eliza",1,0.048,2,0.0375,2,"Y1","Y1-V1",1
"44","ID-B07","Eliza",1,0.082,4,0.0875,1,"Y1","Y1-V1",1
