"","Distance","Minute","How.Detected","Route.ID","Full.Point.ID","Observer.ID","Year","Visit","Burned","Ord.Date","MAS","Wind.Start","Sagebrush.Cover","Annual.Cover","Shrub.Cover","Shrub.Height","Elevation","TRI","Road.Distance","Point.X","Point.Y","Years.Since.Fire","Visit.ID","Dist.Bin","Dist.Bin.Midpoint","Time.Bin"
"1",100,2,"S","UT-C30","UT-C30-P01","Trey Mccuen","Y2","V1","R",135,194,"1-3 mph",5.25925925925926,17.7407407407407,14.5740740740741,29.4259259259259,1900.11867720992,4.09521964744285,673.562780309607,257148,4632971.73,121,"UT-C30-P01-Y2-V1",100,105,"1"
"2",100,1,"S","UT-C30","UT-C30-P02","Trey Mccuen","Y2","V1","R",135,181,"1-3 mph",7.14814814814815,17.1851851851852,15.6481481481481,30.5925925925926,1880.76501020952,4.69375638094815,683.334220747514,257399,4632955.159,170,"UT-C30-P02-Y2-V1",100,105,"1"
"3",150,2,"S","UT-C30","UT-C30-P04","Trey Mccuen","Y2","V1","R",135,157,"1-3 mph",3.98181818181818,20.6727272727273,10.3636363636364,23.0909090909091,1841.61009410511,2.96293806596236,758.002601906105,257902,4632917.85,99,"UT-C30-P04-Y2-V1",150,155,"1"
"4",150,3,"S","UT-C30","UT-C30-P10","Trey Mccuen","Y2","V1","R",135,102,"1-3 mph",9.38181818181818,13.3272727272727,21.5090909090909,33.2909090909091,1878.6529518821,3.21077104048295,488.114360462536,257364,4632459.628,171,"UT-C30-P10-Y2-V1",150,155,"2"
"5",100,4,"S","UT-C30","UT-C30-P10","Trey Mccuen","Y2","V1","R",135,102,"1-3 mph",9.38181818181818,13.3272727272727,21.5090909090909,33.2909090909091,1878.6529518821,3.21077104048295,488.114360462536,257364,4632459.628,122,"UT-C30-P10-Y2-V1",100,105,"2"
"6",100,1,"S","UT-C30","UT-C30-P13","Trey Mccuen","Y2","V1","B",135,78,"1-3 mph",2.77777777777778,25.7592592592593,9.85185185185185,22.537037037037,1904.18968200684,5.22404316493443,332.48856816973,257096,4632230.525,24,"UT-C30-P13-Y2-V1",100,105,"1"
"7",120,1,"S","UT-C30","UT-C30-P16","Trey Mccuen","Y2","V1","R",135,32,"1-3 mph",4.92592592592593,19.4444444444444,11.3148148148148,22.6666666666667,1868.30802556818,4.38193220658736,351.524354117257,257849,4632174.545,128,"UT-C30-P16-Y2-V1",120,125,"1"
"8",56,1,"S","UT-C19","UT-C19-P01","Will Harrod","Y2","V1","R",137,177,"4-7 mph",4.03703703703704,9.98148148148148,10.4259259259259,24.6296296296296,1723.83593107525,0.650913706996985,501.072232228405,282885,4648565.247,198,"UT-C19-P01-Y2-V1",50,55,"1"
"9",75,6,"S","UT-C19","UT-C19-P01","Will Harrod","Y2","V1","R",137,177,"4-7 mph",4.03703703703704,9.98148148148148,10.4259259259259,24.6296296296296,1723.83593107525,0.650913706996985,501.072232228405,282885,4648565.247,168,"UT-C19-P01-Y2-V1",70,75,"3"
"10",76,1,"S","UT-C19","UT-C19-P02","Will Harrod","Y2","V1","R",137,190,"4-7 mph",3.83333333333333,17.2592592592593,9.25925925925926,23.5,1727.01404696378,0.656226140802557,385.615580806026,283137,4648565.491,128,"UT-C19-P02-Y2-V1",70,75,"1"
"11",110,2,"S","UT-C19","UT-C19-P02","Will Harrod","Y2","V1","R",137,190,"4-7 mph",3.83333333333333,17.2592592592593,9.25925925925926,23.5,1727.01404696378,0.656226140802557,385.615580806026,283137,4648565.491,125,"UT-C19-P02-Y2-V1",110,115,"1"
"12",70,2,"S","UT-C19","UT-C19-P03","Will Harrod","Y2","V1","R",137,202,"4-7 mph",5.18518518518519,18.1111111111111,10.1851851851852,23.2777777777778,1728.73913122106,0.885028415256076,259.298372502913,283389,4648565.737,189,"UT-C19-P03-Y2-V1",70,75,"1"
