"","Full.Point.ID","Point.ID","Route.ID","UTM.X","UTM.Y","Geo.X","Geo.Y","Route.Type"
"1","ID-B03-P13","13","ID-B03",311615.7659,4662717.284,-113.2779917,42.09394452,"B"
"2","ID-B03-P14","14","ID-B03",311860.6303,4662703.488,-113.2750286,42.09387909,"B"
"3","ID-B03-P15","15","ID-B03",312105.495,4662689.701,-113.2720655,42.09381365,"B"
"4","ID-B03-P16","16","ID-B03",312350.3604,4662675.922,-113.2691023,42.09374822,"B"
"5","ID-B03-P09","09","ID-B03",311629.5686,4662961.237,-113.2779035,42.09614326,"B"
"6","ID-B03-P10","10","ID-B03",311874.4247,4662947.442,-113.2749404,42.09607783,"B"
"7","ID-B03-P11","11","ID-B03",312119.281,4662933.655,-113.2719773,42.0960124,"B"
"8","ID-B03-P12","12","ID-B03",312364.1378,4662919.876,-113.2690141,42.09594697,"B"
"9","ID-B03-P05","05","ID-B03",311643.3711,4663205.182,-113.2778154,42.09834193,"B"
"10","ID-B03-P06","06","ID-B03",311888.2185,4663191.387,-113.2748522,42.0982765,"B"
"11","ID-B03-P07","07","ID-B03",312133.0664,4663177.6,-113.2718891,42.09821107,"B"
"12","ID-B03-P08","08","ID-B03",312377.9148,4663163.822,-113.268926,42.09814564,"B"
"13","ID-B03-P01","01","ID-B03",311657.173,4663449.119,-113.2777272,42.10054051,"B"
"14","ID-B03-P02","02","ID-B03",311902.012,4663435.324,-113.274764,42.10047509,"B"
"15","ID-B03-P03","03","ID-B03",312146.8514,4663421.538,-113.2718009,42.10040966,"B"
"16","ID-B03-P04","04","ID-B03",312391.6913,4663407.76,-113.2688378,42.10034424,"B"
"17","ID-B04-P13","13","ID-B04",334497.7903,4659317.688,-113.0005104,42.06850298,"B"
"18","ID-B04-P14","14","ID-B04",334743.1141,4659318.752,-112.9975471,42.0685642,"B"
"19","ID-B04-P15","15","ID-B04",334988.4374,4659319.825,-112.9945838,42.06862542,"B"
"20","ID-B04-P16","16","ID-B04",335233.7602,4659320.907,-112.9916205,42.06868665,"B"
"21","ID-B04-P09","09","ID-B04",334496.6837,4659562.101,-113.0005929,42.07070272,"B"
"22","ID-B04-P10","10","ID-B04",334741.9991,4659563.165,-112.9976296,42.07076394,"B"
"23","ID-B04-P11","11","ID-B04",334987.3139,4659564.238,-112.9946663,42.07082516,"B"
"24","ID-B04-P12","12","ID-B04",335232.6282,4659565.319,-112.991703,42.07088639,"B"
"25","ID-B04-P05","05","ID-B04",334495.5775,4659806.506,-113.0006754,42.07290239,"B"
"26","ID-B04-P06","06","ID-B04",334740.8845,4659807.569,-112.9977121,42.07296361,"B"
"27","ID-B04-P07","07","ID-B04",334986.1909,4659808.642,-112.9947488,42.07302483,"B"
"28","ID-B04-P08","08","ID-B04",335231.4967,4659809.722,-112.9917855,42.07308605,"B"
"29","ID-B04-P01","01","ID-B04",334494.4721,4660050.903,-113.0007578,42.07510199,"B"
"30","ID-B04-P02","02","ID-B04",334739.7705,4660051.966,-112.9977946,42.0751632,"B"
"31","ID-B04-P03","03","ID-B04",334985.0685,4660053.037,-112.9948313,42.07522442,"B"
"32","ID-B04-P04","04","ID-B04",335230.3659,4660054.117,-112.991868,42.07528564,"B"
"33","ID-B07-P13","13","ID-B07",297065.3062,4665497.425,-113.4547536,42.11533453,"B"
"34","ID-B07-P14","14","ID-B07",297310.4903,4665498.604,-113.4517909,42.11540852,"B"
"35","ID-B07-P15","15","ID-B07",297555.6738,4665499.79,-113.4488281,42.11548251,"B"
"36","ID-B07-P16","16","ID-B07",297800.8568,4665500.986,-113.4458653,42.1155565,"B"
"37","ID-B07-P09","09","ID-B07",297064.0759,4665741.701,-113.4548534,42.11753225,"B"
"38","ID-B07-P10","10","ID-B07",297309.2517,4665742.879,-113.4518906,42.11760624,"B"
"39","ID-B07-P11","11","ID-B07",297554.4267,4665744.065,-113.4489278,42.11768023,"B"
"40","ID-B07-P12","12","ID-B07",297799.6011,4665745.26,-113.4459651,42.11775422,"B"
"41","ID-B07-P05","05","ID-B07",297062.8464,4665985.969,-113.4549531,42.11972991,"B"
"42","ID-B07-P06","06","ID-B07",297308.0136,4665987.146,-113.4519903,42.11980389,"B"
"43","ID-B07-P07","07","ID-B07",297553.1802,4665988.332,-113.4490276,42.11987788,"B"
"44","ID-B07-P08","08","ID-B07",297798.3461,4665989.526,-113.4460648,42.11995187,"B"
"45","ID-B07-P01","01","ID-B07",297061.6174,4666230.229,-113.4550529,42.12192748,"B"
"46","ID-B07-P02","02","ID-B07",297306.7761,4666231.405,-113.4520901,42.12200147,"B"
"47","ID-B07-P03","03","ID-B07",297551.9342,4666232.59,-113.4491273,42.12207545,"B"
"48","ID-B07-P04","04","ID-B07",297797.0918,4666233.783,-113.4461646,42.12214944,"B"
"49","ID-B09-P16","16","ID-B09",258025.1584,4652953.276,-113.9212651,41.99143382,"B"
"50","ID-B09-P13","13","ID-B09",257270.5191,4652952.456,-113.9303637,41.99119435,"B"
"51","ID-B09-P14","14","ID-B09",257522.2852,4652951.961,-113.9273279,41.99126741,"B"
"52","ID-B09-P15","15","ID-B09",257774.0521,4652951.466,-113.924292,41.99134039,"B"
"53","ID-B09-P09","09","ID-B09",257269.987,4653200.861,-113.9304727,41.99342856,"B"
"54","ID-B09-P10","10","ID-B09",257521.7523,4653200.366,-113.9274368,41.99350163,"B"
"55","ID-B09-P11","11","ID-B09",257773.5184,4653199.873,-113.9244008,41.99357463,"B"
"56","ID-B09-P12","12","ID-B09",258025.2852,4653199.381,-113.9213649,41.99364756,"B"
"57","ID-B09-P05","05","ID-B09",257269.4545,4653449.266,-113.9305817,41.99566277,"B"
"58","ID-B09-P06","06","ID-B09",257521.2187,4653448.773,-113.9275457,41.99573585,"B"
"59","ID-B09-P07","07","ID-B09",257772.9839,4653448.28,-113.9245097,41.99580887,"B"
"60","ID-B09-P08","08","ID-B09",258024.7501,4653447.789,-113.9214736,41.99588182,"B"
"61","ID-B09-P01","01","ID-B09",257268.9212,4653697.672,-113.9306907,41.99789698,"B"
"62","ID-B09-P02","02","ID-B09",257520.6846,4653697.179,-113.9276546,41.99797008,"B"
"63","ID-B09-P03","03","ID-B09",257772.449,4653696.688,-113.9246185,41.99804311,"B"
"64","ID-B09-P04","04","ID-B09",258024.2144,4653696.198,-113.9215824,41.99811608,"B"
"65","ID-B11-P13","13","ID-B11",297649.3796,4663579.993,-113.4470308,42.09823183,"B"
"66","ID-B11-P14","14","ID-B11",297894.629,4663581.163,-113.444068,42.09830555,"B"
"67","ID-B11-P15","15","ID-B11",298139.8778,4663582.342,-113.4411052,42.09837927,"B"
"68","ID-B11-P16","16","ID-B11",298385.126,4663583.529,-113.4381424,42.09845298,"B"
"69","ID-B11-P09","09","ID-B11",297648.1576,4663824.333,-113.4471301,42.10043016,"B"
"70","ID-B11-P10","10","ID-B11",297893.3985,4663825.503,-113.4441673,42.10050388,"B"
"71","ID-B11-P11","11","ID-B11",298138.6388,4663826.681,-113.4412046,42.10057759,"B"
"72","ID-B11-P12","12","ID-B11",298383.8785,4663827.868,-113.4382418,42.1006513,"B"
"73","ID-B11-P05","05","ID-B11",297646.9362,4664068.665,-113.4472295,42.10262842,"B"
"74","ID-B11-P06","06","ID-B11",297892.1687,4664069.835,-113.4442667,42.10270213,"B"
"75","ID-B11-P07","07","ID-B11",298137.4005,4664071.012,-113.4413039,42.10277584,"B"
"76","ID-B11-P08","08","ID-B11",298382.6317,4664072.198,-113.4383411,42.10284955,"B"
