"","Route.ID","Date","Point.ID","Geo.X.x","Geo.Y.y","Visit","Observer.ID","Point.Time","Times.Visited"
"1","ID-B04",2023-06-08,"P16",-112.9916205,42.06868665,"V1","Thea","06:10",2
"2","ID-B04",2023-06-08,"P16",-112.9916205,42.06868665,"V1","Thea","10:13",2
"3","ID-B07",2023-06-15,"P02",-113.4520901,42.12200147,"V2","Will","06:03",2
"4","ID-B07",2023-06-15,"P02",-113.4520901,42.12200147,"V2","Will","07:01",2
"5","ID-B07",2024-06-03,"P12",-113.4459651,42.11775422,"V2","Aidan","06:15",2
"6","ID-B07",2024-06-03,"P12",-113.4459651,42.11775422,"V2","Aidan","08:25",2
"7","ID-B09",2022-06-13,"P11",-113.9274368,41.99350163,"V1","Austin","08:52",2
"8","ID-B09",2022-06-13,"P11",-113.9274368,41.99350163,"V1","Austin","09:05",2
"9","ID-B12",2023-06-12,"P12",-113.8706863,42.10382206,"V2","Will","06:23",2
"10","ID-B12",2023-06-12,"P12",-113.8706863,42.10382206,"V2","Will","07:01",2
"11","ID-B15",2024-05-22,"P09",-113.9002616,42.05189038,"V1","Thomas","07:15",2
"12","ID-B15",2024-05-22,"P09",-113.9002616,42.05189038,"V1","Thomas","08:14",2
"13","ID-B26",2024-06-11,"P12",-114.054764,42.21805967,"V2","Thomas","07:54",2
"14","ID-B26",2024-06-11,"P12",-114.054764,42.21805967,"V2","Thomas","09:01",2
"15","ID-C04",2023-05-31,"P03",-112.9666049,42.06619977,"V1","Will","08:15",2
"16","ID-C04",2023-05-31,"P03",-112.9666049,42.06619977,"V1","Will","08:24",2
"17","ID-C04",2024-05-23,"P02",-112.9695684,42.0661444,"V1","Emily","06:44",2
"18","ID-C04",2024-05-23,"P02",-112.9695684,42.0661444,"V1","Emily","08:11",2
"19","ID-C09",2024-06-14,"P07",-113.8795394,42.00794948,"V1","Will","07:03",2
"20","ID-C09",2024-06-14,"P07",-113.8795394,42.00794948,"V1","Will","07:41",2
"21","ID-C16",2024-06-11,"P06",-113.9599789,42.22969825,"V2","Emily","06:32",2
"22","ID-C16",2024-06-11,"P06",-113.9599789,42.22969825,"V2","Emily","07:42",2
"23","ID-C26",2022-07-01,"P04",-113.9490554,42.20098262,"V2","Austin","07:58",2
"24","ID-C26",2022-07-01,"P04",-113.9490554,42.20098262,"V2","Austin","08:08",2
"25","ID-C28",2022-06-27,"P01",-113.7610828,42.09574923,"V1","Ruger","06:40",2
"26","ID-C28",2022-06-27,"P01",-113.7610828,42.09574923,"V1","Ruger","08:02",2
"27","UT-B08",2022-06-17,"P01",-114.0117168,41.78194992,"V2","Eliza","11:15",2
"28","UT-B08",2022-06-17,"P01",-114.0117168,41.78194992,"V2","Eliza","10:43",2
"29","UT-B16",2023-06-09,"P14",-113.9849232,41.86368462,"V1","Will","06:38",2
"30","UT-B16",2023-06-09,"P14",-113.9849232,41.86368462,"V1","Will","07:01",2
"31","UT-B19",2023-06-14,"P16",-113.6840189,41.97893288,"V2","Anna","08:15",2
"32","UT-B19",2023-06-14,"P16",-113.6840189,41.97893288,"V2","Anna","09:01",2
"33","UT-B22",2024-05-24,"P01",-113.9426864,41.69702549,"V1","Holden","07:03",2
"34","UT-B22",2024-05-24,"P01",-113.9426864,41.69702549,"V1","Holden","06:46",2
"35","UT-B24",2024-05-20,"P09",-114.0382739,41.79781181,"V1","Thomas","08:58",2
"36","UT-B24",2024-05-20,"P09",-114.0382739,41.79781181,"V1","Thomas","09:09",2
"37","UT-B24",2024-05-31,"P13",-114.0383603,41.7955775,"V2","Emily","08:39",2
"38","UT-B24",2024-05-31,"P13",-114.0383603,41.7955775,"V2","Emily","08:56",2
"39","UT-B25",2023-05-25,"P13",-113.9979988,41.8380052,"V1","Devin","07:46",2
"40","UT-B25",2023-05-25,"P13",-113.9979988,41.8380052,"V1","Devin","08:10",2
"41","UT-C17",2023-06-02,"P07",-113.6419988,41.857995,"V1","Andrew","07:56",2
"42","UT-C17",2023-06-02,"P07",-113.6419988,41.857995,"V1","Andrew","08:54",2
"43","UT-C17",2023-06-02,"P11",-113.643045,41.85097053,"V1","Andrew","07:02",2
"44","UT-C17",2023-06-02,"P11",-113.643045,41.85097053,"V1","Andrew","09:08",2
"45","UT-C24",2024-06-18,"P02",-113.9515326,41.78856868,"V2","Will","05:45",2
"46","UT-C24",2024-06-18,"P02",-113.9515326,41.78856868,"V2","Will","07:00",2
"47","UT-C30",2024-05-28,"P03",-113.9175618,41.81126612,"V1","Emily","07:11",2
"48","UT-C30",2024-05-28,"P03",-113.9175618,41.81126612,"V1","Emily","07:24",2
