"","Grid.ID","Grid.Type","Grid.X","Grid.Y","Shrub.Cover","Perennial.Cover","Annual.Cover","Bare.Ground.Cover","Elevation","TRI","Sage.Type","rdnbr","Fire.Year","Fire.Count","Prop.South","Prob.Burned","ln.Prop.South"
"1","ID-B03","R",312009.552967381,4663051.41483095,5.98132010503819,15.4480510811625,39.3067106899743,11.1243793200761,1514.96114746094,0.488986924115349,1,0,0,0,NA,NA,NA
"2","ID-B04","B",334858.78860701,4659680.56711801,8.67241441280673,33.4673102364384,12.8618614234072,18.7835899712273,1521.41019205221,1.10513430638544,1,1302.20702446449,2006,1,100,572.398190045249,4.60517018598809
"3","ID-B07","B",297445.731478079,4665871.61012994,14.2782003094999,37.1250771582842,20.595996135898,7.02509694389575,1709.88977391443,2.08481064434199,1,1298.86802594297,2007,1,100,302.403846153846,4.60517018598809
"4","ID-B09","B",257708.060504552,4653303.72715221,23.7221821879481,31.2662385867132,10.9285119408764,8.16209251269466,1731.47372960086,4.3191818402392,1,1980.23727300146,2000,1,100,367.638483965015,4.60517018598809
"5","ID-B11","B",298035.914892054,4663999.82476162,10.7686933586121,39.0449532043457,18.5947918087006,7.74253005714417,1670.62483588325,2.80145268515935,1,1196.06982232208,2007,1,100,206.709265175719,4.60517018598809
"6","ID-B12","B",262508.392173957,4665414.08776547,17.0056669807085,38.0602431614188,17.4096340925633,5.75170410820578,1848.9098555495,5.12865425383617,2,671.515508719541,2010,1,100,518.69918699187,4.60517018598809
"7","ID-B13","B",241128.968329929,4674555.95678741,20.1964622353318,45.3562263049911,4.60140785387899,4.67688954729596,2225.06602916913,1.75767561579615,2,788.645799440274,2020,1,100,584.792626728111,4.60517018598809
"8","ID-B15","B",260337.296440051,4659727.73110842,29.4378397396524,32.7926855064538,3.98846851535799,11.26283327252,1741.08299304277,3.88381349123441,2,889.386314232777,2010,2,100,340.47619047619,4.60517018598809
"9","ID-B16","B",252961.303714118,4684604.69735425,7.79055731472862,23.8413020330227,28.5694117701322,10.613667705818,1533.0591690611,4.3115671071545,3,305.062328262699,2012,2,100,275.219298245614,4.60517018598809
"10","ID-B19","B",248863.489880833,4679631.69743056,19.8938381442657,36.0784932313821,12.0881218392497,7.37802277978223,1996.37233045918,1.51903917213187,2,525.055369073859,2012,2,100,535.348837209302,4.60517018598809
"11","ID-B21","B",331741.194854726,4654276.46621642,10.82314653314,26.2335342089079,10.1851449806204,25.8457073454507,1517.6356672523,1.07706940202285,1,899.077936631106,2007,1,100,242.829457364341,4.60517018598809
"12","ID-B22","B",337405.042378565,4663218.80806532,2.80199702960647,27.9705354349625,27.4274684588114,9.54346549395778,1508.24375384787,0.689215666018658,1,2744.83308316875,2006,1,100,1020.96774193548,4.60517018598809
"13","ID-B23","B",322087.810695956,4659174.07086339,24.9633491743215,35.8199242525108,7.40210525474525,8.5286084234187,2194.81902552469,6.28319831645805,2,318.948743022475,2012,1,100,252.277227722772,4.60517018598809
"14","ID-B24","B",334227.536124074,4658225.06990351,10.5866036609961,28.5462369681933,11.8787269322918,25.5860247688416,1521.01370466718,1.04524655075547,1,1878.69492013114,2006,1,100,960,4.60517018598809
"15","ID-B26","B",247500.95127991,4678656.22322489,20.8273200608376,37.7563386036445,10.2505587257391,5.45137632918588,2040.67542331828,2.0357367819416,2,876.284099067538,2012,1,100,475.446428571429,4.60517018598809
"16","ID-B28","B",272834.398157993,4654654.90377363,24.091056001703,29.3026135763808,5.96153817054357,14.8249397147716,1855.93716347152,2.50210690591557,1,1769.14547068961,2000,1,100,319.592875318066,4.60517018598809
"17","ID-C03","R",315488.689869904,4662524.57133599,15.5724486330569,25.0024795246124,21.427638237381,9.22930103111267,1614.99616670496,1.00626190783931,1,0,0,0,100,0,4.60517018598809
"18","ID-C04","R",337165.223499882,4658621.70755608,14.0305570419135,25.2743389640699,7.91458915238175,27.8173162956177,1434.08167758119,0.310778234145221,1,0,0,0,NA,NA,NA
"19","ID-C07","R",300251.972314477,4669113.60713363,22.595982961939,29.0183027315101,18.1016872384489,5.34937887552955,1613.29351473894,0.932662417212751,3,0,0,0,100,0,4.60517018598809
"20","ID-C09","R",261425.268756911,4654562.23606199,37.6109393915822,29.078745717387,5.5046204125749,5.38574263472711,1924.09169144627,3.5058378515702,2,0,0,0,100,0,4.60517018598809
"21","ID-C11","R",299169.060219418,4668103.94361165,19.2820051010341,30.7632775302859,12.0607058634977,8.94746163043161,1642.86446934333,1.3986088337158,1,0,0,0,100,0,4.60517018598809
"22","ID-C12","R",262504.819919313,4667502.68060837,20.713551693024,34.6625639464694,17.356816621072,6.20931782580649,1844.16642357426,2.98582406084953,2,0,0,0,100,0,4.60517018598809
"23","ID-C13","R",247022.171832378,4676584.63691398,27.0823486847893,34.8986720716838,4.80388578094566,5.56713477385281,2098.92491867114,1.897631840751,2,0,0,0,100,0,4.60517018598809
"24","ID-C15","R",262105.424278564,4668613.18995692,16.8852022021276,36.5709776307362,15.6309502417846,8.26716179700242,1804.1962530979,2.43670601967435,1,0,0,0,100,0,4.60517018598809
"25","ID-C16","R",255866.016776662,4679412.89563739,17.0376269566486,21.3931778995866,21.9869664751382,10.8736703533724,1495.75048809126,1.51207518818777,3,0,0,0,100,0,4.60517018598809
"26","ID-C19","R",249168.582294275,4677358.60291221,23.2267674903075,31.5102445758306,7.79088362554709,9.92278688448744,1979.21123050738,1.95739135259314,2,0,0,0,100,0,4.60517018598809
"27","ID-C21","R",334498.866031486,4654109.13913525,15.9188782534925,27.255943987743,7.88778461548219,23.6719031659475,1424.87035750746,0.592922598729857,1,0,0,0,100,0,4.60517018598809
"28","ID-C22","R",339012.183108924,4662560.68486797,19.8414242035893,28.2460604548933,9.00757911521268,16.1677963900279,1477.79549778146,0.36307244487613,1,0,0,0,100,1703.125,4.60517018598809
"29","ID-C23","R",322438.631229333,4657215.17200333,24.3509528132113,32.5614813926388,7.06553743121456,10.0863322368413,2057.87217637359,5.51213781280875,2,0,0,0,100,0,4.60517018598809
"30","ID-C24","R",336011.689358122,4657129.6424467,16.5222724743359,23.2664926853134,7.73771832006332,23.8836759827836,1425.85061033228,0.589161744803237,1,0,0,0,100,0,4.60517018598809
"31","ID-C26","R",256889.265206632,4676668.50590947,19.1831121199974,23.2140562750381,13.7983507169373,13.0454189393075,1549.78633292303,1.32195146495937,3,0,0,0,100,0,4.60517018598809
