"","Route.ID","Route.Type","Sagebrush.Prop","Annual.Cover","Perennial.Cover","Shrub.Cover","Bare.Ground.Cover","Shrub.Height","Burn.Sevarity","Fire.Distance","Elevation","TRI","Aspect","Precipitation","Road.Distance","Fire.Name","Fire.Year","Center.X","Center.Y"
"1","ID-B03","R",42.5296875176466,24.1312462372065,58.3082480433474,4.48043347381096,20.1992775436484,18.0295003010235,NA,2580.05692744601,1515.69206232244,0.613712528113163,-1,714.715301513672,142.248391923778,NA,NA,312009,4663051
"2","ID-B04","B",21.5280295401141,13.0054347826087,46.2403381642512,5.25966183574879,32.7916666666667,20.5845410628019,2,-861.52407947485,1521.0731847383,1.30702837938832,-1,784.668212890625,463.034692334927,"Burnt",2006,334858,4659680
"3","ID-B07","B",32.1761177012388,28.1222760290557,61.611985472155,5.23728813559322,14.3886198547215,20.1495157384988,3,-740.693176850029,1715.87993273028,2.74934169092857,3,797.818216959635,363.610891801126,"Jim Sage",2007,297445,4665871
"4","ID-B09","B",51.8320672491039,16.7274368231047,53.820697954272,13.0312876052948,12.4386281588448,24.1107099879663,3,-665.32511974648,1729.12200621637,5.21623698346925,2,880.183654785156,667.805570714884,"Devine Canyon",2000,257708,4653303
"5","ID-B11","B",36.4420328731923,22.0132850241546,54.3961352657005,5.44867149758454,22.2192028985507,22.1153381642512,3,-1081.42775095744,1671.51583961459,3.2596145519711,2,752.398803710938,161.319477124987,"Jim Sage",2007,298035,4663999
"6","ID-B12","B",17.1660547169726,28.4990969295605,68.998193859121,5.78868151715834,5.07645996387718,17.4033714629741,2,-316.348422388728,1849.12350025798,5.44763201079696,2,1108.05712890625,297.122065823812,"Emery",2010,262508,4665414
"7","ID-B13","B",36.9440959152377,6.01505646173149,53.7063989962359,9,5.01756587202008,43.3193224592221,3,-1122.67221994055,2221.42626188808,2.42663109381467,8,1728.12194824219,226.151622631784,"Badger",2020,241128,4674555
"8","ID-B15","B",37.1984074967968,14.5378558449425,49.1841308298001,12.0272562083586,17.442761962447,23.8037552998183,3,-266.363750824251,1740.62266568203,4.62149498050418,6,972.480865478516,319.273973996447,"Emery",2010,260337,4659727
"9","ID-B16","B",47.5839497566008,16.1118500604595,52.0332527206771,8.4764207980653,21.0804111245466,23.0217654171705,2,-625.823660102613,1540.71559953603,5.58020127664401,4,986.241333007812,275.72126450746,"Cave Canyon",2012,252961,4684604
"10","ID-B19","B",33.7986855032537,16.395166163142,54.1377643504532,17.1220543806647,7.10090634441088,30.966163141994,2,-1220.06568171902,1999.65966253034,2.05657785359382,-1,1404.74310302734,169.161005343771,"Cave Canyon",2012,248863,4679631
"11","ID-B21","B",25.4746596892481,7.40859564164649,36.5653753026634,5.09019370460048,45.2179176755448,21.0702179176755,2,-471.557699289033,1516.48503922782,1.34153849960383,4,794.257934570312,211.807456495968,"Black Pine 2",2007,331741,4654276
"12","ID-B22","B",37.3009646425458,17.2522631261316,53.5727217863609,6.44357272178636,21.920337960169,18.9269764634882,2,-582.368721391154,1508.69122892061,0.791656144632497,-1,777.377136230469,532.85985074395,"Burnt",2006,337405,4663218
"13","ID-B23","B",23.5054671524728,12.7037928958459,51.0523780854907,18.0264900662252,11.7363034316677,35.5647200481638,2,-589.84565852487,2194.4954985652,8.27294271213729,6,1078.70751953125,755.765343088823,"Deer Hallow",2012,322087,4659174
"14","ID-B24","B",24.1584052067436,8.07009063444109,36.8598187311178,5.3595166163142,44.631419939577,20.9214501510574,2,-819.376750655796,1521.2340870053,1.20610690217481,-1,785.406036376953,311.756734325951,"Burnt",2006,334227,4658225
"15","ID-B26","B",27.6702111721945,14.3937387116195,53.0608067429259,18.426851294401,5.78627332931969,34.6315472606863,3,-663.604934983687,2041.00283452278,2.27097011879446,-1,1511.97692871094,164.878353287158,"Cave Canyon",2012,247500,4678656
"16","ID-B28","B",42.7262963916233,18.2061298076923,53.6893028846154,11.3774038461538,14.7271634615385,24.2181490384615,2,-622.111031482396,1851.8432508828,3.18527588406623,7,1032.48712158203,1128.79805060944,"City of Rocks",2000,272834,4654654
"17","ID-C03","R",44.7217617650173,22.3049001814882,56.6575922565033,7.67695099818512,17.1627344222626,22.2619479733817,NA,934.806068085103,1613.67348513755,1.1409670412361,-1,787.364318847656,288.540679301226,NA,NA,315488,4662524
"18","ID-C04","R",25.5101938118242,8.09420289855072,38.8272946859903,5.2475845410628,42.9057971014493,22.1207729468599,1,497.185124727418,1433.94120033938,0.369451548196961,-1,762.624786376953,633.278988130854,NA,NA,337165,4658621
"19","ID-C07","R",65.1996961170004,17.0271084337349,49.5740963855422,14.8102409638554,16.0795180722892,29.0253012048193,NA,1701.05178437512,1614.6231471128,1.03026555456064,3,755.133087158203,232.636276892766,NA,NA,300251,4669113
"20","ID-C09","R",39.5276694944169,13.0668272125226,50.8512944009633,23.4701986754967,3.85972305839856,36.9632751354606,NA,796.783460694281,1921.43975084667,4.23853206057935,8,1124.9794921875,192.958169730313,NA,NA,261425,4654562
"21","ID-C11","R",61.0022412989649,14.9607724803862,46.9408569704285,12.9800844900422,21.7163548581774,25.8780929390465,1,565.077124502055,1642.75166716739,1.47303585486553,3,765.339935302734,140.136419795534,NA,NA,299169,4668103
"22","ID-C12","R",41.2530336946666,20.0132930513595,58.7274924471299,11.2664652567976,9.30453172205438,22.9202416918429,NA,698.850848659244,1844.83011213977,3.67941459039152,7,1110.68225097656,319.690920081363,NA,NA,262504,4667502
"23","ID-C13","R",44.3469526423967,6.20156438026474,40.6564380264741,30.1865222623345,6.27316486161252,42.3886883273165,2,266.127359839996,2101.02764623685,2.23653936299777,4,1570.43121337891,91.9435557477784,NA,NA,247022,4676584
"24","ID-C15","R",45.8530938682725,20.1442365721183,58.4797827398914,8.83584791792396,12.7978273989137,20.9040434520217,NA,1358.47490785898,1804.97730207213,3.13872613768647,7,1050.95159912109,346.041690184885,NA,NA,262105,4668613
"25","ID-C16","R",71.9350980650117,15.2151975683891,50.2565349544073,14.0425531914894,16.6109422492401,27.5592705167173,NA,550.203292147242,1491.9789508322,1.61449778828644,-1,906.143707275391,314.687742107656,NA,NA,255866,4679412
"26","ID-C19","R",39.9516350311691,14.1357056694813,49.7991556091677,19.5018094089264,9.30579010856454,33.4203860072376,NA,746.888300347025,1974.26150145747,2.67501334106814,3,1383.44653320312,223.420498977302,NA,NA,249168,4677358
"27","ID-C21","R",34.3063468892928,8.20096269554753,43.1377858002407,6.84175691937425,34.1985559566787,21.3134777376655,NA,1320.00229423634,1424.60799446221,0.630122453856684,-1,758.49462890625,304.496041888557,NA,NA,334498,4654109
"28","ID-C22","R",48.0824466911133,9.58766626360338,46.0519951632406,10.2938331318017,25.1420798065296,26.1698911729141,NA,388.681024629524,1477.87598781356,0.421029635509813,-1,772.88047281901,166.563002241712,NA,NA,339012,4662560
"29","ID-C23","R",24.8991771082778,20.6823671497585,51.4003623188406,13.9788647342995,16.5935990338164,28.9661835748792,2,544.065168908056,2056.01270870324,7.32246064157197,7,954.362548828125,358.724154424581,NA,NA,322438,4657215
"30","ID-C24","R",38.4709911032595,11.4906003638569,43.2243784111583,7.63856882959369,33.4742268041237,22.3480897513645,NA,902.857723318812,1426.82630438747,0.700773491916886,-1,759.270721435547,319.306942686555,NA,NA,336011,4657129
"31","ID-C26","R",73.0269277612735,12.8493975903614,45.6234939759036,17.0096385542169,17.8156626506024,30.7277108433735,NA,713.434029906302,1551.13299689624,1.9225820950511,2,909.928283691406,1037.08109735321,NA,NA,256889,4676668
"32","ID-C28","R",22.7062426854619,20.1183574879227,59.1038647342995,16.4987922705314,3.34178743961353,29.7614734299517,NA,694.759844183778,2042.48675375134,6.03375356418807,7,1300.98919677734,616.51971979648,NA,NA,272030,4663734
"33","UT-B01","B",32.3423237086677,12.702833031947,35.2085593731163,6.88487040385775,42.6738999397227,23.1398432790838,3,-708.524551863237,1817.64056521798,1.96186530071756,3,781.438598632812,497.628402269009,"Rosebud",2017,273511,4601486
"34","UT-B02","B",28.6402808841682,11.8789156626506,29.4518072289157,9.7066265060241,49.1849397590361,22.1246987951807,NA,-350.753488716978,1558.60919237396,1.55778803983844,3,649.673522949219,400.374363418377,"Playground",2013,280986,4602574
"35","UT-B05","B",45.9432448344708,7.83212996389892,25.338146811071,5.43501805054152,54.5848375451264,25.4620938628159,2,-293.722645082336,1557.02027610085,2.65143278179747,-1,598.858337402344,343.651734018527,"Goose Creek",2018,254325,4603710
"36","UT-B06","B",45.5239764065162,9.07543753771877,26.7561858780929,3.97887748943874,54.2154496077248,24.3397706698853,2,-1341.51691338531,1523.16386896494,1.75766953377661,-1,575.087707519531,993.417663758504,"Goose Creek",2018,254060,4597668
"37","UT-B08","B",33.2433506406316,17.5679758308157,59.3015105740181,8.90694864048338,13.0676737160121,22.6574018126888,3,-1383.6659393035,2138.230103127,8.19026382510595,7,1394.96114095052,159.329155364953,"Goose Creek",2018,250097,4629577
"38","UT-B15","B",45.8751585171376,16.2803625377644,49.778247734139,18.8042296072508,11.2447129909366,30.4646525679758,3,-1055.0125695061,1902.09559438886,3.8488956007097,4,991.182861328125,224.862637942219,"Wagon Box",1999,253262,4637414
"39","UT-B16","B",42.3241805813937,13.444578313253,50.3042168674699,21.3861445783133,7.54277108433735,33.0066265060241,3,-1573.54705876849,1928.13946839301,6.56494023533386,8,935.441345214844,679.984982868107,"Wagon Box",1999,252606,4639323
"40","UT-B17","B",16.659749523485,28.5760869565217,65.9414251207729,9.21859903381642,5.07125603864734,22.6890096618357,3,-277.06104594121,2009.11237575432,4.45896000319543,8,1124.67892456055,188.658933101792,"Prospect",2002,283036,4641741
"41","UT-B19","B",45.9954641121898,15.6835748792271,53.1654589371981,10.1479468599034,18.2421497584541,23.9933574879227,4,-1844.5151741037,1833.36292671727,4.30857325805223,2,984.678365071615,412.070763357596,"City of Rocks",2000,277245,4651303
"42","UT-B22","B",44.7245386666118,9.41902468392535,31.3305237808549,7.37326911499097,45.1354605659241,26.0885009030704,2,-328.90763229749,1632.66556257902,1.3706356085441,-1,723.913513183594,508.886856097475,"Goose Creek",2018,255435,4619758
"43","UT-B24","B",22.044519074691,22.371686746988,61.7536144578313,9.24578313253012,8.56686746987952,26.3807228915663,2,-668.0472276368,2050.82846505301,5.53307701477682,3,1266.12133789062,219.077348575822,"Goose Creek",2018,247965,4631879
"44","UT-B25","B",37.553772038586,16.3345367027677,55.4121540312876,13.6401925391095,10.9789410348977,24.3604091456077,2,-665.713275199927,1927.60026567811,10.3833916056192,2,1044.24975585938,409.811232483279,"Wagon Box",1999,251158,4636409
"45","UT-B27","B",45.4355474013655,11.43961352657,44.6038647342995,8.7493961352657,29.9341787439614,22.8496376811594,2,-678.765368840655,1676.67927231297,1.68367815338116,7,695.623977661133,685.254039102883,"Dairy Valley",2009,248335,4642388
"46","UT-B30","B",35.5721050043262,16.9141993957704,54.8682779456193,10.5377643504532,14.7909365558912,25.7178247734139,3,-2443.3847705019,1938.22092531957,7.51623266372496,2,895.378662109375,657.385168887077,"Dairy Valley",2009,250018,4639061
"47","UT-C01","R",41.0844229075621,17.1407854984894,40.8845921450151,13.9196374622356,27.836253776435,24.9027190332326,NA,1655.43556811745,1854.0141076402,2.23529965495775,3,830.605346679688,406.426685848006,NA,NA,273752,4606010
