"","Observer.Name","Route.ID","Year","Visit.Number","Date","Start.Temperature..Celcius.","End.Temperature..Celcius.","Wind.Start","Wind.End","Sky.End","Point..","Start.Time.at.Point","X4.Letter.Species.Code","Radial.Distance..m.","How.Detected.","Direction","Sex","Number.of.Birds.in.Group","Point.Notes","Route.Notes","x.x","y.x"
"1","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,16,"05:45","WEME",36,"S","N","U",NA,"","",-113.86852684,42.12042484
"2","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,16,"05:45","VESP",18,"S","E","U",NA,"","",-113.86852684,42.12042484
"3","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,16,"05:45","VESP",58,"S","S","U",NA,"","",-113.86852684,42.12042484
"4","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,16,"05:45","WEME",96,"S","NE","U",NA,"","",-113.86852684,42.12042484
"5","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,16,"05:45","MODO",300,"S","N","U",NA,"","",-113.86852684,42.12042484
"6","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,16,"05:45","VESP",49,"S","N","U",NA,"","",-113.86852684,42.12042484
"7","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,16,"05:45","VESP",16,"S","N","U",NA,"","",-113.86852684,42.12042484
"8","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,16,"05:45","WEME",125,"S","S","U",NA,"","",-113.86852684,42.12042484
"9","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,16,"05:45","BBMA",300,"S","NE","U",NA,"","",-113.86852684,42.12042484
"10","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,16,"05:45","NOBI",NA,"","","",NA,"","",-113.86852684,42.12042484
"11","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,12,"05:58","VESP",74,"S","N","U",NA,"","",-113.86865679,42.12254795
"12","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,12,"05:58","BRSP",32,"S","E","U",NA,"","",-113.86865679,42.12254795
"13","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,12,"05:58","WEME",32,"S","N","U",NA,"","",-113.86865679,42.12254795
"14","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,12,"05:58","BRSP",26,"S","N","U",NA,"","",-113.86865679,42.12254795
"15","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,12,"05:58","MODO",300,"S","W","U",NA,"","",-113.86865679,42.12254795
"16","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,12,"05:58","WEME",97,"S","E","U",NA,"","",-113.86865679,42.12254795
"17","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,12,"05:58","WEME",100,"S","SE","U",NA,"","",-113.86865679,42.12254795
"18","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,12,"05:58","VESP",27,"S","S","U",NA,"","",-113.86865679,42.12254795
"19","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,12,"05:58","VESP",80,"S","E","U",NA,"","",-113.86865679,42.12254795
"20","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,12,"05:58","HOLA",15,"S","SE","U",NA,"","",-113.86865679,42.12254795
"21","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,12,"05:58","BRSP",58,"S","N","U",NA,"","",-113.86865679,42.12254795
"22","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,12,"05:58","NOBI",NA,"","","",NA,"","",-113.86865679,42.12254795
"23","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,8,"06:10","BRSP",11,"S","E","U",NA,"","",-113.8687943,42.12476119
"24","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,8,"06:10","BRSP",30,"S","SE","U",NA,"","",-113.8687943,42.12476119
"25","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,8,"06:10","BRSP",55,"S","S","U",NA,"","",-113.8687943,42.12476119
"26","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,8,"06:10","BRSP",28,"S","W","U",NA,"","",-113.8687943,42.12476119
"27","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,8,"06:10","WEME",236,"S","S","U",NA,"","",-113.8687943,42.12476119
"28","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,8,"06:10","WEME",50,"S","W","U",NA,"","",-113.8687943,42.12476119
"29","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,8,"06:10","WEME",42,"S","N","U",NA,"","",-113.8687943,42.12476119
"30","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,8,"06:10","NOBI",NA,"","","",NA,"","",-113.8687943,42.12476119
"31","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,8,"06:10","CORA",474,"S","E","U",NA,"","",-113.8687943,42.12476119
"32","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,8,"06:10","NOBI",NA,"","","",NA,"","",-113.8687943,42.12476119
"33","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,4,"06:22","WEME",17,"S","NW","U",NA,"","",-113.86890688,42.12698795
"34","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,4,"06:22","SATH",135,"S","W","U",NA,"","",-113.86890688,42.12698795
"35","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,4,"06:22","BRSP",150,"S","W","U",NA,"","",-113.86890688,42.12698795
"36","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,4,"06:22","BRSP",53,"S","N","U",NA,"","",-113.86890688,42.12698795
"37","anna_mumford","ID-C12","y2",2,2023-06-12,9,13,1,1,0,4,"06:22","MODO",200,"S","N","U",NA,"","",-113.86890688,42.12698795
