"","Observer.Name","Route.ID","Year","Visit.Number","Date","Start.Temperature..Celcius.","End.Temperature..Celcius.","Wind.Start","Wind.End","Sky.End","Point..","Start.Time.at.Point","X4.Letter.Species.Code","Radial.Distance..m.","How.Detected.","Direction","Sex","Number.of.Birds.in.Group","Point.Notes","Route.Notes","x.x","y.x"
"1","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,13,"06:29","WEME",32,"S","","U",NA,"","",-113.421438573371,42.1452288995294
"2","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,13,"06:29","WEME",116,"S","","U",NA,"","",-113.421438573371,42.1452288995294
"3","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,13,"06:29","BRSP",51,"S","","U",NA,"","",-113.421438573371,42.1452288995294
"4","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,13,"06:29","BRSP",62,"S","","U",NA,"","",-113.421438573371,42.1452288995294
"5","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,13,"06:29","VESP",150,"S","","U",NA,"","",-113.421438573371,42.1452288995294
"6","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,13,"06:29","HOLA",79,"S","","U",NA,"","",-113.421438573371,42.1452288995294
"7","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,13,"06:29","WEME",126,"S","","U",NA,"","",-113.421438573371,42.1452288995294
"8","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,13,"06:29","LASP",64,"S","","U",NA,"","",-113.421438573371,42.1452288995294
"9","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,13,"06:29","HOLA",48,"S","","U",NA,"","",-113.421438573371,42.1452288995294
"10","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,13,"06:29","HOLA",120,"S","","U",NA,"","",-113.421438573371,42.1452288995294
"11","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,13,"06:29","VESP",142,"S","","U",NA,"","",-113.421438573371,42.1452288995294
"12","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,13,"06:29","BRSP",136,"S","","U",NA,"","",-113.421438573371,42.1452288995294
"13","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,13,"06:29","BRSP",35,"S","","U",NA,"","",-113.421438573371,42.1452288995294
"14","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,13,"06:29","NOBI",NA,"","","",NA,"","",-113.421438573371,42.1452288995294
"15","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","GRSG",106,"V","","M",4,"","",-113.421532672702,42.1474256546267
"16","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","BRSP",39,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"17","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","BRSP",52,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"18","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","WEME",284,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"19","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","WEME",88,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"20","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","BRSP",60,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"21","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","BRSP",67,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"22","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","CORA",999,"C","","U",NA,"","",-113.421532672702,42.1474256546267
"23","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","CORA",350,"C","","U",NA,"","",-113.421532672702,42.1474256546267
"24","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","WEME",125,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"25","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","HOLA",139,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"26","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","VESP",64,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"27","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","MODO",235,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"28","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","HOLA",78,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"29","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","VESP",85,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"30","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","LASP",185,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"31","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","LASP",175,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"32","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,9,"06:40","BRSP",130,"S","","U",NA,"","",-113.421532672702,42.1474256546267
"33","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","BRSP",91,"S","","U",NA,"","",-113.421638510506,42.1496189417726
"34","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","BRSP",66,"S","","U",NA,"","",-113.421638510506,42.1496189417726
"35","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","WEME",57,"S","","U",NA,"","",-113.421638510506,42.1496189417726
"36","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","VESP",33,"S","","U",NA,"","",-113.421638510506,42.1496189417726
"37","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","BRSP",45,"S","","U",NA,"","",-113.421638510506,42.1496189417726
"38","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","WEME",102,"S","","U",NA,"","",-113.421638510506,42.1496189417726
"39","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","HOLA",57,"S","","U",NA,"","",-113.421638510506,42.1496189417726
"40","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","BRSP",31,"S","","U",NA,"","",-113.421638510506,42.1496189417726
"41","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","VESP",59,"S","","U",NA,"","",-113.421638510506,42.1496189417726
"42","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","HOLA",103,"S","","U",NA,"","",-113.421638510506,42.1496189417726
"43","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","BRSP",113,"S","","U",NA,"","",-113.421638510506,42.1496189417726
"44","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","WEME",224,"S","","U",NA,"","",-113.421638510506,42.1496189417726
"45","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","HOLA",37,"S","","M",NA,"","",-113.421638510506,42.1496189417726
"46","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","NOBI",NA,"","","",NA,"","",-113.421638510506,42.1496189417726
"47","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,5,"06:50","NOBI",NA,"","","",NA,"","",-113.421638510506,42.1496189417726
"48","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,1,"07:02","BRSP",83,"S","","U",NA,"","",-113.421766850339,42.1518059589476
"49","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,1,"07:02","WEME",142,"S","","U",NA,"","",-113.421766850339,42.1518059589476
"50","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,1,"07:02","BRSP",58,"S","","U",NA,"","",-113.421766850339,42.1518059589476
"51","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,1,"07:02","VESP",39,"S","","U",NA,"","",-113.421766850339,42.1518059589476
"52","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,1,"07:02","WEME",87,"S","","U",NA,"","",-113.421766850339,42.1518059589476
"53","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,1,"07:02","VESP",43,"S","","U",NA,"","",-113.421766850339,42.1518059589476
"54","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,1,"07:02","BRSP",81,"S","","U",NA,"","",-113.421766850339,42.1518059589476
"55","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,1,"07:02","HOLA",97,"S","","U",NA,"","",-113.421766850339,42.1518059589476
"56","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,1,"07:02","HOLA",106,"S","","U",NA,"","",-113.421766850339,42.1518059589476
"57","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,1,"07:02","VESP",58,"S","","U",NA,"","",-113.421766850339,42.1518059589476
"58","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,1,"07:02","DUFL",63,"V","","U",NA,"","",-113.421766850339,42.1518059589476
"59","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,1,"07:02","WEME",72,"S","","U",NA,"","",-113.421766850339,42.1518059589476
"60","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,1,"07:02","MODO",267,"S","","U",NA,"","",-113.421766850339,42.1518059589476
"61","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,1,"07:02","WEME",46,"V","","U",NA,"","",-113.421766850339,42.1518059589476
"62","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","BRSP",18,"S","","U",NA,"","",-113.418777841969,42.1518931060749
"63","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","BRSP",54,"S","","U",NA,"","",-113.418777841969,42.1518931060749
"64","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","BRSP",73,"S","","U",NA,"","",-113.418777841969,42.1518931060749
"65","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","BRSP",69,"S","","U",NA,"","",-113.418777841969,42.1518931060749
"66","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","WEME",120,"S","","U",NA,"","",-113.418777841969,42.1518931060749
"67","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","WEME",133,"S","","U",NA,"","",-113.418777841969,42.1518931060749
"68","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","WEME",146,"S","","U",NA,"","",-113.418777841969,42.1518931060749
"69","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","HOLA",84,"S","","M",NA,"","",-113.418777841969,42.1518931060749
"70","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","VESP",41,"S","","U",NA,"","",-113.418777841969,42.1518931060749
"71","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","WEME",40,"S","","U",NA,"","",-113.418777841969,42.1518931060749
"72","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","LASP",93,"S","","U",NA,"","",-113.418777841969,42.1518931060749
"73","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","LASP",144,"S","","U",NA,"","",-113.418777841969,42.1518931060749
"74","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","BRSP",67,"S","","U",NA,"","",-113.418777841969,42.1518931060749
"75","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","NOBI",NA,"","","",NA,"","",-113.418777841969,42.1518931060749
"76","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","MODO",400,"S","","U",NA,"","",-113.418777841969,42.1518931060749
"77","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,2,"07:17","CORA",375,"F","","U",NA,"","",-113.418777841969,42.1518931060749
"78","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,3,"07:30","HOLA",44,"S","","U",NA,"","",-113.415817103873,42.1519808103436
"79","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,3,"07:30","BRSP",73,"S","","U",NA,"","",-113.415817103873,42.1519808103436
"80","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,3,"07:30","WEME",147,"S","","U",NA,"","",-113.415817103873,42.1519808103436
"81","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,3,"07:30","WEME",64,"S","","U",NA,"","",-113.415817103873,42.1519808103436
"82","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,3,"07:30","VESP",82,"S","","U",NA,"","",-113.415817103873,42.1519808103436
"83","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,3,"07:30","BRSP",89,"S","","U",NA,"","",-113.415817103873,42.1519808103436
"84","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,3,"07:30","BRSP",35,"V","","U",NA,"","",-113.415817103873,42.1519808103436
"85","rory_eggleston","ID-C07","",1,2023-05-23,9,16,0,0,1,3,"07:30","BRSP",85,"S","","U",NA,"","",-113.415817103873,42.1519808103436
